time[s],MCP,PIP,DIP,TIP,Wrist_X,Wrist_Y,Wrist_D,MCP_X,MCP_Y,MCP_D,PIP_X,PIP_Y,PIP_D,DIP_X,DIP_Y,DIP_D,TIP_X,TIP_Y,TIP_D,MCP_RX,MCP_RY,MCP_RZ,PIP_RX,PIP_RY,PIP_RZ,DIP_RX,DIP_RY,DIP_RZ,TIP_RX,TIP_RY,TIP_RZ,MCP_Distance,PIP_Distance,DIP_Distance,TIP_Distance
0.0501102470152545,0,0,0,0,433,388,312,437,228,302,436,162,297,432,120,290,426,82,287,2.6663646697998047,-117.74270629882812,-10.0,1.822305679321289,-163.9477577209473,-15.0,-1.1021175384521484,-191.46143341064453,-22.0,-5.222633898258209,-216.39683532714844,-25.0,118.19667671776756,164.64260706061273,192.72440205310596,217.89875227830066
0.1101894690073095,0,0,0,0,435,388,312,438,227,303,436,161,297,433,119,290,428,81,287,1.9359116554260247,-118.4858045578003,-9.0,0.347170352935791,-164.6498680114746,-15.0,-1.891694068908692,-192.1469955444336,-22.0,-5.340834379196167,-217.075309753418,-25.0,118.84289476298893,165.33208872886706,193.41159841954394,218.57542088809615
0.1683998749940656,0,0,0,0,435,384,310,438,224,303,437,158,297,432,116,290,427,78,287,1.9832367897033687,-117.00046253204346,-7.0,1.096601963043213,-163.1219711303711,-13.0,-2.5299277305603027,-190.5694580078125,-20.0,-5.971976637840271,-215.4764938354492,-23.0,117.22645375885145,163.64284280506425,191.63277083973207,216.78280351674871
0.2270333399937953,0,0,0,0,435,381,310,439,222,302,437,155,297,433,113,290,427,76,287,2.6664090156555176,-116.19353675842284,-8.0,1.096601963043213,-163.02977752685547,-13.0,-1.844368934631348,-190.42761993408203,-20.0,-5.971976637840271,-214.6349105834961,-23.0,116.4991318485667,163.55094281697473,191.48389000259584,215.94631125848915
0.2871601160150021,0,0,0,0,435,380,310,438,220,303,437,153,297,433,111,290,428,73,286,1.9832367897033687,-116.9342622756958,-7.0,1.096601963043213,-163.70114135742188,-13.0,-1.844368934631348,-191.0658950805664,-20.0,-5.300623655319214,-215.54424285888672,-24.0,117.16038119656852,164.22017603689252,192.11865593873242,216.94104554174635
0.3491645450121723,0,0,0,0,435,379,311,439,219,302,438,152,296,434,109,289,428,71,286,2.6427464485168457,-117.19978332519533,-9.0,1.7442927360534668,-163.79409408569336,-15.0,-1.2037701606750488,-191.7261962890625,-22.0,-5.324286222457886,-216.49375915527344,-25.0,117.57454367448713,164.4887467716318,192.98803954150074,217.9974673636375
0.4085392690030858,0,0,0,0,434,378,311,439,218,303,438,150,296,434,108,290,428,70,286,3.4110684394836426,-117.22896671295166,-8.0,2.479496479034424,-164.45838928222656,-15.0,-0.447268009185791,-191.9846954345703,-21.0,-4.589082479476929,-216.43467712402344,-25.0,117.55112089846344,165.1596491522488,193.13032731753128,217.92207125434476
0.4680605049943551,0,0,0,0,436,376,312,440,215,303,439,148,297,435,106,290,428,68,288,2.6309261322021484,-118.23049545288086,-9.0,1.7159242630004885,-164.92646026611328,-15.0,-1.2581424713134766,-192.20846557617188,-22.0,-6.071287393569946,-217.44962310791016,-24.0,118.60173619027162,165.61606713113977,193.46750931777814,218.85428741605108
0.5281564590113703,0,0,0,0,435,373,312,441,213,304,439,146,299,435,104,292,428,66,289,4.1226325035095215,-117.51264381408691,-8.0,2.519728183746338,-164.5592803955078,-13.0,-0.4732499122619629,-192.0067672729492,-20.0,-5.326605319976807,-217.00836181640625,-23.0,117.85676711557743,165.09120447318605,193.04616713130545,218.28880370388924
0.5887245699996129,0,0,0,0,436,371,313,440,212,306,439,146,300,434,104,294,428,67,291,2.7113475799560547,-117.19667434692384,-7.0,1.7892532348632812,-163.61605072021484,-13.0,-1.884534358978272,-191.4827651977539,-19.0,-6.075970411300659,-215.97610473632807,-22.0,117.43684210535572,164.14144351874813,192.43232794291174,217.17871726648622
