time[s],Wrist_X,Wrist_Y,Wrist_D,MCP_X,MCP_Y,MCP_D,PIP_X,PIP_Y,PIP_D,DIP_X,DIP_Y,DIP_D,TIP_X,TIP_Y,TIP_D,MCP_RX,MCP_RY,MCP_RZ,PIP_RX,PIP_RY,PIP_RZ,DIP_RX,DIP_RY,DIP_RZ,TIP_RX,TIP_RY,TIP_RZ,MCP_Distance,PIP_Distance,DIP_Distance,TIP_Distance
0.05609318899223581,498,341,236,368,188,230,315,121,224,276,78,217,237,43,213,-71.71910667419434,-84.63104057312012,-6.0,-98.97613906860352,-119.38172149658203,-12.0,-117.16253662109375,-139.48190307617188,-19.0,-135.39141082763672,-155.57987213134766,-23.0,111.09474915869593,155.53864964186562,183.14819484024335,207.52091638749187
0.12434408499393612,499,338,236,367,184,229,314,117,223,275,75,217,236,41,213,-72.68363952636719,-85.00138092041016,-7.0,-99.80119323730469,-119.53693389892578,-13.0,-118.23342514038086,-139.34715270996094,-19.0,-136.4528465270996,-154.91322326660156,-23.0,112.05867308323597,156.26374095594275,183.73288162111652,207.7173225039167
0.1900243750133086,499,335,235,367,182,229,315,115,223,275,73,217,237,38,213,-72.50868225097656,-84.18423843383789,-6.0,-99.09906768798828,-118.69142532348633,-12.0,-118.05846786499023,-138.47327041625977,-18.0,-135.77435684204102,-154.52396774291992,-22.0,111.26767276463704,155.08797394365953,182.85690704592903,206.87274490102567
0.2564831190102268,498,335,235,368,181,229,315,113,223,276,71,217,238,37,213,-71.41178512573242,-84.72559356689453,-6.0,-98.54352569580078,-119.74576950073242,-12.0,-116.98994064331055,-139.49924850463867,-18.0,-134.71528244018555,-155.0275001525879,-22.0,110.96877605933291,155.54380659441728,182.94995639541503,206.55685204441804
0.3255077009962406,499,335,0,368,181,229,316,114,223,276,72,217,238,37,213,-30.85211181640625,-31.582538604736328,229.0,-57.4566764831543,-66.07554626464844,223.0,-76.43026733398438,-85.84320831298828,217.0,-94.15560913085938,-101.88444519042969,213.0,233.2173011340533,239.57513954219363,245.55985457360782,254.19425426741032
0.3939913279900793,500,336,236,370,183,229,317,115,223,278,73,217,240,38,213,-71.61747360229492,-84.42692947387695,-7.0,-98.777587890625,-119.47547149658203,-13.0,-117.25235748291016,-139.25731658935547,-19.0,-134.99662017822266,-155.30801391601562,-23.0,110.93227188497674,155.56477801488592,183.03473866719438,207.05957269848844
0.4618052800069563,501,337,237,370,183,229,317,116,224,277,74,217,239,39,213,-72.35506439208984,-85.21570205688477,-8.0,-99.77046585083008,-120.02864837646484,-13.0,-118.5029411315918,-139.53309631347656,-20.0,-136.23774337768555,-155.59325408935547,-24.0,112.07573876727837,156.62063174171112,184.1532840425699,208.19698229983746
0.528223967005033,502,336,235,371,183,229,319,116,223,279,74,218,241,39,213,-72.00987243652344,-84.19842529296875,-6.0,-98.6569938659668,-118.71979904174805,-12.0,-118.01824951171875,-138.90668869018555,-17.0,-135.42684173583984,-154.57597732543945,-22.0,110.9540289946247,154.8276239021398,183.0638560193749,206.6837251180145
0.59237114599091,504,339,236,373,185,229,320,118,224,280,76,217,242,41,213,-72.22502708435059,-85.0179271697998,-7.0,-99.6758804321289,-119.85451889038086,-12.0,-118.45800399780273,-139.39206314086914,-19.0,-136.22117233276367,-155.47112655639648,-23.0,111.77433729432065,156.34700776914383,183.91151670793076,207.9819198498455
0.659579508996103,504,340,236,373,187,229,321,120,223,281,78,217,243,43,213,-72.22502708435059,-84.49312019348145,-7.0,-98.9005126953125,-119.07122421264648,-13.0,-117.94501113891602,-138.9239959716797,-19.0,-135.71764755249023,-155.02196502685547,-23.0,111.37567911068052,155.33276488524243,183.22636903376736,207.31639949113904
0.7260113719967194,507,340,236,376,188,230,322,121,223,282,78,218,244,44,213,-72.39047813415527,-84.07313346862793,-6.0,-100.04705047607422,-118.54405975341797,-13.0,-119.44376754760742,-139.3053970336914,-18.0,-136.88782119750977,-154.51844024658203,-23.0,111.10658439410933,155.66343954758315,184.3822313800364,207.7094700981107
0.7954675270011649,506,342,237,376,188,229,323,122,224,283,80,218,245,45,213,-71.90826797485352,-85.31026268005371,-8.0,-99.39458465576172,-119.65277099609375,-13.0,-118.56201171875,-139.63319396972656,-19.0,-136.01788330078125,-155.37340545654297,-24.0,111.85991204038696,156.09314227708737,184.16128659678802,207.88881571837442
0.8608977050171234,506,342,236,376,190,230,323,123,224,283,80,218,245,45,214,-71.83257484436035,-84.10149955749512,-6.0,-99.20307922363281,-118.88054275512695,-12.0,-118.3705062866211,-139.3905029296875,-18.0,-136.2518768310547,-155.5901336669922,-22.0,110.76543249854615,155.29917698817317,183.75333756300108,207.9828445677609
0.923492122994503,505,343,235,375,191,230,322,124,224,283,82,218,244,48,213,-71.62925148010254,-83.87063026428223,-5.0,-98.9855728149414,-118.66386413574219,-11.0,-117.62346267700195,-138.67264556884766,-17.0,-135.5828742980957,-153.93296813964844,-22.0,110.40847924198442,154.92016097696242,182.63181979378982,206.30577908341598
0.9906383460038342,507,345,237,376,193,230,322,126,224,283,83,217,244,48,214,-72.58434867858887,-84.39383316040039,-7.0,-100.48439025878906,-119.21543502807617,-13.0,-118.78661727905273,-139.39835357666016,-20.0,-137.50954818725586,-155.99593353271484,-23.0,111.53388161720393,156.45584883478813,184.23398553058476,209.21904101062702
