t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
200.094,21.4039,13.7644,34.3105,1.78458,8.11286,4.59012,9.83306,8.08341,8.24797,19.873,11.7902,7.8281,1.63223,18.0006,8.72434,0,661,0,0,0
200.194,26.0559,11.1378,31.4776,1.59074,7.62887,2.91113,10.2914,7.85229,4.1665,17.4129,9.50582,6.51989,0.587223,15.3704,8.75013,0,660,0,0,0
200.294,22.5109,2.12333,49.0656,5.33985,8.39349,1.27147,8.49178,9.10254,4.5952,16.7298,9.09929,6.0016,3.84944,22.8822,17.8227,0,662,0,0,0
200.394,20.8881,5.31535,43.6146,4.65512,6.34532,6.74145,5.48506,6.52886,7.88391,12.0811,6.93105,5.25071,1.17895,26.2905,23.7637,0,660,0,0,0
200.494,23.8625,16.534,35.9379,4.78679,5.92197,6.44131,7.56797,7.96511,7.48266,11.2021,4.70149,9.23463,4.76011,19.6489,21.5153,0,662,0,0,0
200.594,18.7867,11.3625,35.7554,5.54983,5.14951,4.55326,8.43373,8.71697,5.29854,14.193,9.15566,10.6473,2.85768,22.6692,16.2061,0,660,0,0,0
200.694,33.468,7.19146,40.6055,6.98629,4.94107,8.53945,10.4921,7.90369,5.61224,16.5774,10.7906,8.7713,5.53773,22.5189,19.1062,0,664,0,0,0
200.794,30.5827,5.81823,37.0835,6.83807,7.68836,6.77472,11.3709,8.55363,6.14447,15.5026,12.3416,8.07125,7.42858,17.1856,12.3649,0,660,0,0,0
200.894,23.3372,6.73207,110.294,3.84396,5.3852,10.2855,7.13174,7.68659,3.39509,12.1534,8.51014,8.45348,5.66681,18.8878,9.54955,0,660,0,0,0
200.994,21.7071,7.67674,36.6826,4.91161,5.45519,10.2833,7.29616,7.92445,5.13835,11.4305,8.52328,8.63078,9.7424,23.8165,9.41159,0,657,0,0,0
201.094,25.2478,8.94498,36.3913,2.93228,4.704,8.52176,7.28228,6.87229,5.6199,13.6479,10.956,9.47148,6.0432,21.7058,11.1985,0,654,0,0,0
201.194,26.7232,6.74978,35.8371,2.18659,7.06895,10.7907,8.13215,7.30281,4.64996,14.2707,11.4421,7.11021,5.4882,22.7958,14.1594,0,641,0,0,0
201.294,29.7195,10.4451,39.7713,7.21367,6.75081,7.80303,3.20526,9.7428,10.6789,13.6442,8.65185,4.82455,6.03278,20.3241,8.01965,0,631,0,0,0
201.394,30.6152,7.7822,29.7785,8.35557,11.4537,4.40588,3.89469,16.9603,35.1594,12.9328,12.7389,4.26267,3.36357,21.9196,7.14019,0,616,0,0,0
201.494,29.2412,1.49014,116.324,8.67574,19.9873,82.0433,13.9388,85.6568,168.935,14.5036,11.6649,9.75317,8.16625,17.6725,6.88083,0,604,0,0,0
201.594,27.6933,8.083,44.3393,8.7652,27.5357,76.2806,24.3445,56.6122,39.3285,14.1103,12.8815,4.62125,6.99519,17.1533,5.8784,0,593,0,0,0
201.694,24.7906,3.136,45.4239,3.40565,44.081,27.0442,31.5024,66.9937,168.994,17.7268,92.7616,170.275,8.15804,11.7938,6.51997,0,585,0,0,0
201.794,20.791,6.02807,110.879,7.32973,86.7241,173.329,31.1811,65.6538,169.136,17.4638,92.888,170.72,10.0228,12.602,5.21343,577,0,0,0,0
201.894,23.5237,9.24756,41.751,6.81088,46.5666,33.7152,31.2529,66.8045,169.234,16.3491,93.8941,170.73,6.31828,17.6404,7.4668,0,0,0,0,0
201.994,23.279,18.9201,33.3908,5.51508,45.4601,41.8678,31.0314,60.2877,24.1618,97.5069,166.409,86.4092,10.8921,14.9037,4.93681,14080,2,0,0,0
202.094,25.7238,8.17463,42.7053,6.30556,85.1673,174.445,29.7665,56.635,32.8246,59.5704,97.4882,50.7235,10.4555,10.3533,4.20571,0,0,0,0,0
202.194,22.0717,9.13438,40.4879,5.94926,86.8559,173.937,22.8159,75.0176,169.307,57.3794,99.5965,60.7187,4.09068,22.352,8.0407,0,564,0,0,0
202.294,20.1905,13.2949,110.937,4.56063,88.4636,174.048,26.1664,71.4295,169.261,58.5391,99.7495,54.5124,5.38718,14.9303,7.30106,0,0,0,0,0
202.394,25.4057,11.6714,34.8132,5.16548,85.0721,174.577,27.4478,52.4445,26.2623,58.4467,96.9904,55.6999,6.32314,17.6767,5.04542,0,574,0,0,0
202.494,24.2314,9.79608,35.1035,6.45426,44.4977,37.6715,28.4677,69.7281,169.265,58.5886,96.5864,51.8078,4.57181,17.0239,9.96469,0,575,0,0,0
