t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
99.9269,165.175,111.828,74.8832,24.5153,49.7225,26.5094,29.5427,70.6519,162.819,11.0045,17.9742,9.02149,4.42587,18.5448,55.9642,0,513,0,0,0
100.027,164.818,112.03,74.3376,25.8186,36.0726,20.3592,26.0432,75.5014,162.105,12.5148,15.8501,7.59054,3.73457,21.8803,95.4431,2,0,0,0,0
100.127,164.727,111.714,20.4226,26.6324,15.5385,3.83581,13.1288,10.9343,1.49906,13.4521,16.3011,4.67963,10.2726,25.1678,9.74367,0,555,0,0,0
100.227,164.933,112.89,20.9691,25.2493,10.7105,5.60579,13.3356,9.08865,0.359123,14.5093,13.6572,7.21107,6.3977,22.3023,9.97548,0,569,0,0,0
100.327,165.171,110.797,13.0275,19.5051,6.66602,3.83658,9.29062,10.0441,3.18328,13.9521,11.8203,5.71582,2.15415,20.9534,9.84049,0,577,0,0,0
100.427,164.833,109.58,76.4728,21.1308,5.64414,7.68523,11.8786,9.86248,4.3325,15.0161,12.049,5.07601,6.1087,20.4416,6.00813,0,582,0,0,0
100.527,164.823,111.514,74.7488,21.1314,4.93376,4.21508,143.559,88.379,5.54693,13.2858,13.3864,5.22196,5.75882,21.8327,7.98343,0,582,0,0,0
100.627,,111.235,75.1244,101.079,3.92759,2.07589,94.7915,7.62026,4.01753,98.6331,13.1667,8.93765,77.1167,22.4218,9.44649,0,582,0,0,0
100.727,165.123,113.193,15.7747,19.4643,5.02295,4.30341,9.91624,11.1913,2.37073,14.5093,13.908,7.99873,6.13006,22.3309,11.2787,0,583,0,0,0
100.827,165.126,109.89,76.4522,19.9419,4.39845,2.29778,10.2611,9.5935,3.6977,14.9382,13.5031,7.30274,6.44197,22.7985,9.79822,0,583,0,0,0
100.927,164.89,110.278,76.0304,19.6491,4.37802,4.20058,12.035,12.1573,2.47774,14.7729,13.7232,6.30792,7.58233,23.8809,8.40858,0,583,0,0,0
101.027,165.141,112.428,73.9626,18.5725,5.61405,0.747088,9.16283,11.8179,3.2846,13.2642,15.6367,10.5649,7.64724,23.662,9.92837,0,586,0,0,0
101.127,,112.305,15.075,101.095,4.20125,4.05375,,87.0752,3.01509,97.6775,13.8517,9.28068,75.7572,21.6505,5.92845,0,582,0,0,0
101.227,120.763,17.6748,19.7301,101.255,3.95671,4.38903,94.9841,7.23674,4.46513,99.8673,9.91163,8.39553,76.1544,23.7456,11.414,0,582,0,0,0
101.327,,111.258,13.6199,101.475,3.11127,6.12234,94.2642,9.57991,3.03208,98.7046,13.175,8.22713,77.0278,20.5896,6.97431,0,581,0,0,0
101.427,164.522,111.885,20.1997,22.1319,4.3082,4.27193,11.5234,8.78312,4.38663,14.188,10.4457,6.43725,5.86,19.169,5.24952,0,584,0,0,0
