t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
1000.26,37.5826,18.3274,24.4279,21.2856,2.91015,10.2396,15.1761,11.1165,10.7322,8.13338,20.8453,10.9579,12.2201,35.8059,14.7257,0,423,0,0,0
1000.36,39.9473,19.9521,26.5831,22.7245,5.47415,13.3158,16.2367,15.0428,11.876,7.5712,22.907,12.0516,11.4351,35.2262,23.2203,0,419,0,0,0
1000.46,37.0944,20.7276,27.454,21.1368,5.6262,11.7615,16.7706,11.8248,8.53388,8.76936,21.4975,7.65674,15.9147,37.8505,19.2965,0,414,0,0,0
1000.56,39.2085,19.2095,24.0469,24.378,5.6323,11.355,17.7436,13.2371,10.1998,9.6248,26.2687,10.9797,12.2757,34.6238,14.1855,0,409,0,0,0
1000.66,35.5599,21.6779,27.454,22.7683,5.52054,10.0443,17.4804,11.963,10.4144,10.6437,24.1303,9.37766,15.1345,34.6352,20.3536,0,404,0,0,0
1000.76,37.3832,19.2623,24.3124,26.1293,9.0684,11.6352,19.132,13.3324,13.99,8.66897,21.7104,8.14844,13.0564,33.1959,13.2165,0,403,0,0,0
1000.86,42.8687,19.4996,23.4443,27.2414,12.8728,13.0521,15.704,13.4797,10.8159,5.94236,24.4081,9.57704,11.3069,32.8924,15.8663,0,396,0,0,0
1000.96,42.5745,15.6197,24.2382,26.5655,25.695,18.8018,14.6542,17.2408,8.75784,6.53962,23.4742,8.97198,11.767,38.2988,17.6744,0,395,0,0,0
1001.06,43.9269,18.7027,22.3744,27.4562,33.2678,18.6203,16.3138,15.782,9.02791,4.96974,23.9776,7.00337,9.43491,28.8284,17.4027,0,390,0,0,0
1001.16,39.3063,23.9912,26.5711,30.4615,24.8654,70.1847,14.0162,20.2354,87.6761,6.38208,26.9198,13.5126,5.06286,39.0536,21.1649,0,386,0,0,0
1001.26,47.6976,22.06,19.1488,30.1385,41.4193,58.3832,34.7841,74.4249,38.9423,4.65281,26.615,13.5058,8.35049,32.9939,24.9659,0,382,0,0,0
1001.36,46.7409,20.8333,22.8268,26.7614,56.411,28.0315,32.2657,71.3881,44.1529,6.33625,24.4656,13.4568,15.2985,29.1947,28.0722,0,378,0,0,0
1001.46,46.5541,18.1398,17.0614,30.2789,58.2844,25.9271,31.8417,63.4247,33.6736,9.11465,23.509,12.4707,14.9181,25.459,17.9675,0,380,0,0,0
1001.56,46.431,55.8027,173.61,31.8353,58.4079,24.8178,23.9994,45.5054,25.5869,7.03521,22.6148,13.1635,11.8571,28.5348,13.8264,0,374,0,0,0
1001.66,45.4549,21.8114,20.0166,31.0331,63.0697,25.1042,15.1095,19.8933,8.95054,12.2063,16.1456,14.6492,17.7333,23.1176,19.6167,0,374,0,0,0
