t,rs0,rs1,rs2,rs3,rs4,rs5,rs6,rs7,rs8,rs9,rs10,rs11,rs12,rs13,rs14,sg0,sg1,sg2,sg3,sg4
3.44479,28.9348,9.55514,15.3675,18.6361,102.962,28.5829,9.5505,13.0614,17.0378,7.00197,22.4001,48.902,10.0721,17.7483,24.9382,0,400,0,0,0
3.54486,32.2041,10.3917,14.0752,19.796,103.492,31.8468,17.718,24.2065,20.7175,8.04717,25.7526,50.5567,3.98718,7.80784,16.3133,0,400,0,0,0
3.64484,30.35,12.8632,18.3364,22.6967,112.028,21.7739,23.2752,24.5996,99.1281,4.58951,18.5043,44.3983,5.12195,9.13118,14.1798,0,400,0,0,0
3.74486,33.1698,10.3851,11.2925,26.5187,119.215,27.6619,24.8601,29.1227,16.1713,5.8632,24.6252,50.5265,6.70627,12.3817,19.1529,0,398,0,0,0
3.84483,33.5444,15.5377,19.7588,24.4612,110.958,30.2577,27.7805,34.8272,104.162,5.74668,20.9524,58.1337,3.7294,11.5302,19.4552,0,400,0,0,0
3.94488,33.5405,15.5985,14.0429,22.0165,110.061,32.1866,30.3974,36.7259,103.174,6.04191,16.7736,59.9827,5.23367,6.86788,12.6241,0,402,0,0,0
4.04487,33.0292,13.8522,12.7881,24.6145,122.186,27.6055,33.9614,36.3696,74.0165,8.45144,17.399,43.8085,1.58939,1.78363,15.0787,0,407,0,0,0
4.14485,34.3042,12.6098,13.3681,17.9785,107.631,33.0454,29.9164,34.3933,102.634,7.76583,22.8469,59.7946,6.35247,6.19866,11.9508,0,412,0,0,0
4.24487,29.2123,15.0626,21.1393,23.969,77.8794,54.0484,12.9956,21.5626,102.71,9.28634,17.0064,36.8365,3.7152,7.50048,18.4519,0,414,0,0,0
4.34486,30.1825,18.8191,17.0691,24.5493,74.7457,60.0782,9.35405,20.0264,18.022,7.55929,17.387,42.4178,0.211387,3.37236,12.2821,0,415,0,0,0
4.44482,28.393,18.7543,13.6828,26.634,60.9174,64.9217,9.73926,17.1817,77.1458,9.16511,12.2614,25.0609,4.49263,3.21304,10.0337,0,416,0,0,0
4.54488,28.0646,26.4633,25.1436,24.8349,46.169,93.3375,6.33976,13.9787,8.86804,9.90998,10.7498,16.7351,1.23002,1.67594,14.9228,0,415,0,0,0
4.64488,24.7629,9.13613,18.8378,23.3478,46.4479,87.5875,10.1898,13.5751,13.4676,9.90527,7.61908,8.65669,6.42997,5.16353,17.3536,0,414,0,0,0
4.74489,26.2824,27.8486,25.4845,26.0394,49.5233,94.3194,8.09502,12.7064,11.1079,8.60721,15.2378,28.123,5.5044,7.0848,16.8183,0,415,0,0,0
4.84486,25.1078,12.9809,22.231,26.1486,59.9714,108.677,12.6361,17.4342,14.96,10.6117,10.8848,7.64312,4.08586,8.12567,23.8913,0,415,0,0,0
4.9449,23.2544,12.7168,14.9954,23.1434,52.2784,91.4612,7.71464,13.631,11.7729,10.7853,6.66865,6.74511,8.61505,14.6857,21.5915,0,411,0,0,0
5.0449,24.4886,14.3741,15.4789,23.3819,46.6787,81.567,8.10439,17.6008,13.2026,10.7663,14.9218,17.3985,5.97828,9.6908,23.102,0,404,0,0,0
5.14487,25.1874,15.7615,9.48014,20.7994,48.6617,76.6126,10.3795,16.3492,15.7284,11.2064,19.6595,28.6902,6.8334,5.93948,11.9956,0,403,0,0,0
5.24489,30.1218,23.1576,23.318,26.7391,77.7513,53.881,11.8854,18.2938,16.9029,9.70969,14.3729,8.09711,5.49802,6.97053,16.9386,0,397,0,0,0
5.34491,29.5719,25.4255,24.2238,20.6613,93.2538,39.3771,10.6939,16.6907,18.6143,9.22327,10.6505,2.52863,6.89271,13.2082,25.3315,0,387,0,0,0
5.44492,26.5494,19.9853,18.3047,22.9635,96.043,32.2272,14.0255,18.6096,16.0137,9.74886,19.0638,22.2996,9.2298,10.5829,24.9308,0,385,0,0,0
5.54493,32.9024,14.2818,13.9365,20.0911,116.596,54.5934,26.6367,29.9426,20.8064,8.85552,23.8906,34.3133,7.85721,17.3617,26.8974,0,385,0,0,0
5.64489,37.8137,18.0715,12.5173,32.0818,138.093,40.1571,11.968,27.0629,21.3404,6.28851,14.9903,19.7337,4.60868,13.1065,30.3142,0,381,0,0,0
5.74493,36.8695,12.0136,11.2208,31.6565,138.625,47.703,14.9764,31.3475,20.5435,9.21413,14.1523,13.8232,3.78724,10.9445,24.1617,0,382,0,0,0
5.84492,36.3003,21.6067,22.4194,40.333,146.508,28.6088,9.99631,21.6739,10.4132,5.81443,12.4944,6.25883,3.51116,5.19019,13.4427,0,385,0,0,0
5.94497,35.5696,18.7775,14.9747,37.6341,147.19,46.1837,10.963,25.1027,20.3544,6.68995,13.8692,4.60517,4.474,6.79492,21.3828,0,397,0,0,0
6.04492,36.2982,22.2102,20.6549,35.5535,148.303,40.1534,10.5022,25.3749,17.8642,7.16961,12.481,10.8461,5.814,7.88366,16.1375,0,409,0,0,0
6.14494,37.4741,16.1822,12.5384,40.8578,146.545,35.7774,163.81,111.645,14.9166,5.72878,16.4484,13.7547,5.57325,10.3527,21.8051,0,416,0,0,0
6.24494,33.8738,16.3091,8.48176,23.9556,126.193,43.8194,22.4662,30.9426,14.1969,6.53181,11.8272,14.1456,4.48133,11.2688,18.2915,0,423,0,0,0
6.34495,27.6814,17.2379,22.5522,21.8829,89.4893,54.7414,12.8537,21.6059,12.302,8.62634,13.2921,6.4225,4.26187,8.67565,24.9831,0,423,0,0,0
6.44499,23.9858,15.8243,19.0487,26.3863,55.5047,95.8315,9.49982,17.4106,15.8722,9.30882,18.7652,16.9266,7.88795,15.8492,31.2147,0,431,0,0,0
6.54493,23.5058,11.4456,16.0051,20.7004,45.2736,81.3595,9.42642,19.6644,17.6908,9.32867,10.4598,17.2808,5.29253,7.8426,20.5976,0,438,0,0,0
6.64495,22.4564,18.8224,17.1831,22.1285,35.5262,99.3829,8.84059,15.6486,19.312,10.4741,13.6485,17.4146,5.2898,8.09249,22.5268,0,448,0,0,0
6.74494,21.6697,15.4029,13.2703,19.1785,39.5122,94.7441,6.37867,16.158,14.5445,9.84874,13.0332,22.3963,5.6509,11.776,27.3196,0,452,0,0,0
6.84498,25.0142,15.6725,10.5164,16.5359,41.27,57.6932,4.71609,13.3091,16.0075,10.29,24.2215,47.2938,7.34564,13.0676,25.4554,0,452,0,0,0
6.94496,31.3245,24.6424,17.4071,21.13,25.3634,52.7365,12.2627,15.3522,11.8729,6.2769,16.4005,23.6769,6.68089,12.6683,20.8754,0,453,0,0,0
7.04495,30.7875,18.4819,10.1955,21.7236,23.7281,52.0626,11.4404,14.3654,10.4978,5.49185,9.67406,14.7926,9.82156,14.3296,23.5548,0,457,0,0,0
7.14497,33.2388,18.5236,14.6459,20.6161,25.5273,51.5763,12.6297,12.8114,12.3261,6.4114,13.8067,23.8595,6.96426,9.17152,16.2673,0,458,0,0,0
7.24497,32.9179,17.7175,12.2621,20.6424,20.0188,58.6954,11.94,13.7226,11.1081,5.07048,14.8664,35.9625,3.54361,11.6354,23.5547,0,456,0,0,0
7.34498,32.5485,20.681,14.0757,19.5819,14.9473,63.622,11.6637,14.8981,18.0054,7.36207,19.8566,28.81,2.60421,4.53251,9.51896,0,454,0,0,0
7.44498,31.9778,23.9134,17.9299,18.1696,14.0939,59.9847,7.81528,12.4105,12.8464,5.41565,10.4092,15.6419,3.55721,2.03595,11.6941,0,0,0,0,0
7.54497,31.7931,22.6546,17.8578,17.9657,14.8987,59.2834,10.0644,15.4264,12.7797,7.49771,16.1881,23.616,5.19174,6.64651,13.8992,0,434,0,0,0
7.64499,29.5531,19.2973,14.7783,22.5783,15.3695,58.9955,11.8914,14.8863,14.3131,6.13469,12.7183,18.6279,1.46673,5.25112,11.7123,0,423,0,0,0
7.74498,32.0959,16.0066,8.5077,17.8703,28.374,48.1601,10.9446,15.0437,15.2774,6.38972,13.4317,25.6592,10.2308,14.4722,15.8483,0,419,0,0,0
7.845,23.7868,20.5683,18.6468,16.2163,31.6343,67.8157,6.61204,11.8231,13.2265,11.0385,19.1018,34.4174,6.52764,7.41893,17.3462,0,412,0,0,0
7.94498,23.5285,13.3526,16.5394,25.7739,50.1486,77.5711,12.8082,19.3283,13.6131,6.47827,13.938,33.1509,13.4841,21.4288,34.8222,0,417,0,0,0
8.04501,19.9659,9.56804,11.4458,26.9867,45.7725,82.0614,10.7956,17.0943,9.74926,9.51328,25.8322,52.7024,7.9895,13.3052,26.7953,0,413,0,0,0
