time[s],MCP,PIP,DIP,TIP
0.05045935604721308,323.0,316.0,309.0,305.0
0.11038167122751474,324.0,317.0,310.0,306.0
0.16928720101714134,325.0,318.0,311.0,307.0
0.2288469229824841,325.0,319.0,311.0,308.0
0.288526464253664,325.0,319.0,312.0,308.0
0.34772170800715685,326.0,320.0,312.0,309.0
0.40656273532658815,326.0,320.0,312.0,308.0
0.4656598321162164,327.0,320.0,312.0,309.0
0.5247320411726832,327.0,320.0,312.0,310.0
0.5841166572645307,327.0,321.0,313.0,310.0
0.6509622051380575,327.0,321.0,313.0,310.0
0.7119473530910909,328.0,322.0,314.0,311.0
0.7708806162700057,329.0,323.0,315.0,312.0
0.8303358480334282,331.0,324.0,315.0,312.0
0.8896035733632743,332.0,325.0,317.0,314.0
0.9490134199149907,332.0,326.0,318.0,315.0
1.0073574483394623,332.0,327.0,319.0,316.0
1.0662192162126303,333.0,328.0,320.0,318.0
1.125184312928468,334.0,329.0,321.0,319.0
1.1839401689358056,335.0,329.0,323.0,320.0
1.242879446130246,334.0,329.0,322.0,320.0
1.301629160065204,333.0,329.0,322.0,319.0
1.3604434481821954,332.0,328.0,321.0,318.0
1.4194596521556377,332.0,327.0,320.0,318.0
1.4776965351775289,331.0,327.0,320.0,317.0
1.5371926273219287,331.0,326.0,320.0,318.0
1.5969431651756167,330.0,325.0,319.0,316.0
1.658935050945729,329.0,325.0,318.0,315.0
1.7178938752040267,329.0,325.0,318.0,316.0
1.7759347539395094,327.0,324.0,318.0,316.0
1.834482251200825,327.0,323.0,317.0,316.0
1.8934248662553728,324.0,320.0,316.0,315.0
1.9524556500837207,320.0,318.0,315.0,314.0
2.011120113078505,315.0,315.0,313.0,314.0
2.0702170729637146,313.0,313.0,311.0,313.0
2.129387865308672,308.0,308.0,307.0,309.0
2.1887450930662453,303.0,304.0,305.0,307.0
2.247397562954575,299.0,300.0,301.0,303.0
2.3068531989119947,297.0,298.0,299.0,301.0
2.3683817512355745,294.0,296.0,297.0,299.0
2.427966554183513,294.0,295.0,296.0,299.0
2.487326668109745,295.0,296.0,298.0,299.0
2.5453097582794726,296.0,297.0,298.0,300.0
2.6057888721115887,296.0,297.0,298.0,300.0
2.6646840069442987,296.0,297.0,297.0,300.0
2.7262293403036892,297.0,298.0,298.0,301.0
2.7854412412270904,298.0,299.0,298.0,300.0
2.8445641812868416,299.0,299.0,298.0,300.0
2.9033868382684886,299.0,300.0,299.0,301.0
2.961617734283209,301.0,301.0,300.0,300.0
3.0206617251969874,302.0,303.0,300.0,300.0
3.0798426982946694,303.0,302.0,300.0,300.0
3.1421283800154924,303.0,303.0,300.0,300.0
3.2009441843256354,304.0,303.0,300.0,300.0
3.259970241226256,304.0,303.0,300.0,300.0
3.3205587873235345,304.0,303.0,300.0,300.0
3.380327083170414,304.0,303.0,301.0,300.0
3.4392243842594326,305.0,305.0,302.0,303.0
3.4986784593202174,306.0,306.0,304.0,303.0
3.558181358035654,309.0,309.0,306.0,306.0
3.6173225352540612,310.0,310.0,308.0,308.0
3.6782202320173383,313.0,313.0,311.0,311.0
3.7375956373289227,316.0,316.0,314.0,315.0
3.7956007812172174,320.0,319.0,318.0,317.0
3.8543998142704368,323.0,323.0,321.0,321.0
3.913547696080059,325.0,325.0,323.0,323.0
3.973248905967921,328.0,328.0,327.0,328.0
4.031840594019741,331.0,331.0,330.0,331.0
4.090787411201745,333.0,333.0,332.0,333.0
4.150066333357245,334.0,334.0,333.0,334.0
4.2099204561673105,335.0,335.0,334.0,335.0
4.268735650926828,336.0,336.0,334.0,335.0
4.32815226726234,335.0,335.0,334.0,334.0
4.389073540922254,335.0,335.0,334.0,334.0
4.448012403212488,335.0,335.0,334.0,334.0
4.507774560246617,334.0,334.0,332.0,334.0
4.567114820238203,332.0,333.0,332.0,334.0
4.626704636961222,332.0,333.0,331.0,333.0
4.685874841175973,331.0,332.0,331.0,331.0
4.74556000996381,331.0,331.0,330.0,331.0
4.804750203154981,330.0,331.0,330.0,329.0
4.862934051081538,330.0,330.0,329.0,329.0
4.922848611138761,330.0,330.0,329.0,329.0
4.981433168053627,330.0,330.0,328.0,327.0
5.039442413020879,330.0,330.0,327.0,326.0
5.098418669309467,330.0,329.0,325.0,325.0
5.157525474205613,330.0,329.0,325.0,325.0
5.217334262095392,329.0,329.0,324.0,322.0
5.276011675130576,328.0,327.0,322.0,320.0
5.335451167076826,329.0,327.0,321.0,318.0
5.394842206034809,328.0,327.0,319.0,317.0
5.454185073263943,328.0,326.0,318.0,316.0
5.512258491013199,327.0,326.0,318.0,316.0
5.570565796922892,328.0,326.0,318.0,316.0
5.629584793932736,327.0,326.0,318.0,315.0
5.689565651118755,328.0,325.0,319.0,315.0
5.748077498283237,327.0,325.0,318.0,314.0
5.807431847322732,327.0,325.0,319.0,315.0
5.866492444183677,327.0,325.0,318.0,314.0
5.927323830313981,326.0,324.0,318.0,315.0
5.987476758193225,325.0,323.0,318.0,315.0
6.045657854061574,324.0,323.0,317.0,315.0
6.1043297201395035,324.0,322.0,317.0,313.0
6.163322509266436,324.0,322.0,318.0,315.0
6.222601435147226,323.0,323.0,319.0,316.0
6.280897802207619,323.0,324.0,319.0,317.0
6.3405856201425195,323.0,324.0,320.0,317.0
6.399694511201233,323.0,324.0,320.0,319.0
6.461444654967636,323.0,324.0,321.0,319.0
6.519641580991447,324.0,324.0,322.0,320.0
6.578814084175974,323.0,324.0,323.0,321.0
6.636926539242268,323.0,324.0,323.0,321.0
