RS Actual Data,RS Missing Data,SG Actual Data,SG Missing Data,RS Predicted Data - RS,SG Predicted Data - RS,RS Predicted Data - RS_missing,SG Predicted Data - RS_missing,RS Predicted Data - RS_missing_SG,SG Predicted Data - RS_missing_SG,RS Predicted Data - RS_SG_both_missing,SG Predicted Data - RS_SG_both_missing
12.9087,,637.0,637.0,19.280022,614.0986,12.392161,612.9804,10.717038,654.35406,9.004853,652.439
13.1219,13.1219,630.0,630.0,8.960309,614.24664,7.602393,613.1012,5.050391,652.9806,4.647996,652.6364
13.0368,13.0368,628.0,628.0,5.531728,615.2362,3.6582384,615.2618,3.745288,649.57153,1.700429,651.4052
12.921799999999998,,623.0,623.0,6.2475004,616.80646,2.911601,617.18475,3.8326254,641.76886,0.5240411,648.0441
20.2878,,625.0,625.0,12.190925,618.29675,2.7939253,618.6572,3.2826586,629.75745,0.94400877,643.4918
21.7369,,626.0,626.0,19.836735,618.7733,2.9925432,620.03345,4.3054647,616.697,1.6140509,637.43256
29.5385,,618.0,618.0,30.236958,619.2113,3.627839,621.089,9.5049715,608.6412,2.866929,629.8026
30.7142,30.7142,607.0,607.0,33.79619,619.24713,9.995183,621.1266,17.16875,602.11145,5.0577154,617.4975
27.3331,27.3331,598.0,598.0,29.109764,618.6526,7.8668947,619.96246,14.769652,596.97534,8.908566,602.1196
43.2362,43.2362,590.0,590.0,42.99266,619.7359,42.221752,620.05115,32.8556,592.288,25.565584,594.8526
61.638400000000004,61.638400000000004,585.0,585.0,53.83856,620.62225,65.416435,619.7937,51.15479,588.92737,56.605003,588.96814
73.7603,,577.0,577.0,47.912254,619.56146,58.55645,618.6699,54.0301,585.0795,52.67508,582.47723
81.8966,,577.0,577.0,49.358814,619.6583,59.582325,617.69763,63.643574,582.85736,56.489494,579.2547
85.6485,85.6485,581.0,581.0,58.012173,619.7428,64.05609,619.00885,61.249756,582.0943,64.86582,578.5572
94.37629999999999,,583.0,583.0,51.56605,618.4072,65.585686,617.7679,65.223465,581.95416,62.61984,579.9112
94.63669999999999,94.63669999999999,579.0,579.0,63.66427,619.1906,85.94149,618.2526,82.44856,580.4888,75.38535,579.54144
92.30869999999999,92.30869999999999,584.0,584.0,72.2192,619.7353,93.78277,616.8913,90.65658,580.41077,84.01592,580.27856
