RS Actual Data,RS Missing Data,SG Actual Data,SG Missing Data,RS Predicted Data - RS,SG Predicted Data - RS,RS Predicted Data - RS_missing,SG Predicted Data - RS_missing,RS Predicted Data - RS_missing_SG,SG Predicted Data - RS_missing_SG,RS Predicted Data - RS_SG_both_missing,SG Predicted Data - RS_SG_both_missing
81.3504,81.3504,474.0,474.0,70.74541,499.65167,86.58194,499.18622,75.99978,491.7224,80.82602,500.53363
83.5915,83.5915,468.0,468.0,69.0029,499.62497,88.290855,499.0203,77.62265,484.10855,78.34057,498.37057
71.5493,,462.0,462.0,63.705715,499.8795,84.36153,498.31485,77.07479,474.36295,78.15671,492.70926
81.1632,,461.0,461.0,64.33503,500.29633,79.27302,497.7013,77.49527,467.61954,79.40508,484.32513
91.8212,91.8212,458.0,458.0,71.79122,500.8322,83.13328,498.9149,82.21352,463.01675,82.944466,473.93405
88.7106,88.7106,459.0,459.0,77.184425,501.42014,86.15312,499.64764,84.66507,460.3339,87.04971,466.43637
88.9527,88.9527,458.0,458.0,77.88812,501.25317,88.59876,499.908,86.78066,459.66348,86.4942,464.16312
85.1887,85.1887,454.0,454.0,80.84402,501.65405,87.42606,499.687,87.8213,458.56296,88.83153,462.4578
108.249,108.249,458.0,458.0,86.08396,501.8648,88.61599,500.1069,90.43281,458.4015,92.79833,461.42017
108.312,,474.0,474.0,80.27986,500.91425,85.487206,498.8548,90.53218,462.73532,93.49411,463.60654
109.439,109.439,489.0,489.0,88.070076,500.96625,88.23537,499.42947,92.88674,471.83826,98.1964,465.32822
106.856,106.856,489.0,489.0,91.23489,500.56906,92.11169,500.2905,93.643906,480.65952,97.77941,468.29474
103.134,,487.0,487.0,85.0613,499.91095,88.43379,499.0823,92.513466,493.78967,97.46149,474.15274
51.5016,51.5016,490.0,490.0,75.4661,498.41452,86.5259,497.69437,89.635704,501.69714,90.54621,485.1137
42.7662,42.7662,488.0,488.0,57.1225,497.20688,73.647255,495.8576,82.43672,508.91257,85.005066,495.2578
43.7091,43.7091,492.0,492.0,45.578888,497.1048,51.202404,495.22336,67.22064,512.20154,78.37457,505.2991
42.4615,42.4615,494.0,494.0,38.30081,497.25043,34.650925,494.9994,49.82937,514.1694,70.49179,512.4274
46.8628,,501.0,501.0,34.057045,496.86127,28.797073,495.3988,39.02694,514.5606,60.70468,516.34863
31.7083,31.7083,500.0,500.0,24.397175,496.077,20.43428,494.371,29.153637,514.67566,41.909184,519.35315
16.0206,16.0206,498.0,498.0,19.786636,495.86325,17.693214,494.0294,22.603336,510.6883,26.437891,516.064
20.7706,,502.0,502.0,20.409805,496.40424,16.808067,495.29977,19.443272,507.38058,22.840385,512.7939
41.1172,41.1172,502.0,502.0,20.048965,496.46286,16.276573,494.83716,17.366592,503.71628,19.519989,509.4304
27.281000000000002,27.281000000000002,505.0,505.0,21.47147,496.9346,16.667873,495.07953,16.81871,502.3465,18.197556,507.03897
36.0396,36.0396,508.0,508.0,28.806337,497.70483,16.954735,495.87238,16.968079,502.0354,18.123905,506.09714
40.3509,,506.0,506.0,41.83893,498.08142,16.865955,497.42944,17.574863,501.41205,18.513275,505.44443
41.8228,,508.0,508.0,55.798283,498.2752,18.140205,498.65027,18.605175,501.38068,19.362885,504.793
38.525,38.525,510.0,510.0,58.692204,497.8169,19.954967,498.513,18.665604,502.11612,19.74438,504.12753
47.0021,47.0021,509.0,509.0,64.22415,497.68793,31.03962,498.61978,19.732746,501.97946,20.42609,503.5897
49.3213,,512.0,512.0,65.99295,496.84918,46.908672,498.19257,20.738182,501.49197,21.814148,504.84683
40.8031,40.8031,,,68.64553,497.2501,50.551746,496.88412,24.800379,495.68936,23.120232,501.2638
43.5575,43.5575,514.0,514.0,64.68228,495.4201,47.82316,493.7118,23.459171,495.32492,23.19059,504.44452
45.5302,45.5302,517.0,517.0,58.514637,493.24765,49.955856,489.574,26.57741,503.07434,22.768318,510.73895
44.809,,519.0,519.0,59.52992,492.90182,58.349266,489.26468,26.139236,505.86185,22.618526,514.3687
44.2888,44.2888,521.0,521.0,57.816,492.2401,55.738453,487.85608,23.893988,508.98132,21.021637,517.3303
40.6837,40.6837,528.0,528.0,56.0847,491.5834,48.751404,486.89145,22.295723,513.9038,19.756397,520.535
36.1028,,,,57.20001,492.55862,58.924244,487.8519,24.835901,505.30103,20.618946,518.3508
36.5127,,533.0,533.0,58.30993,492.02112,62.238262,487.24014,23.56765,513.16986,20.18406,523.1004
33.8718,33.8718,539.0,539.0,53.052315,490.36862,50.258343,484.3382,19.181835,520.39124,17.800331,527.7753
33.0296,,544.0,544.0,55.21161,490.3865,56.1718,484.34735,18.289902,526.3124,17.555592,531.36676
30.1163,30.1163,546.0,546.0,54.557545,490.39783,38.54573,486.57147,18.961235,531.72577,17.293022,534.3868
22.3729,22.3729,550.0,550.0,48.278072,488.88028,22.443367,484.9048,16.977589,535.044,16.685379,536.72815
17.0186,,549.0,549.0,51.05195,489.24854,29.801579,485.80954,16.252632,537.34235,16.643986,538.58514
13.282800000000002,13.282800000000002,550.0,550.0,46.599392,488.92563,21.56189,486.33603,16.047302,539.06226,16.686638,540.2181
9.30059,9.30059,552.0,552.0,40.13211,488.23938,19.32885,486.85202,15.645142,540.4582,16.910553,541.3468
8.75224,8.75224,553.0,553.0,33.924667,487.22772,18.638752,486.5411,15.137779,541.2175,16.903027,542.1933
2.901769999999999,2.901769999999999,553.0,553.0,27.910135,486.3285,18.270344,486.16843,14.749702,541.7354,16.945389,542.7529
8.297020000000003,,555.0,555.0,33.31761,487.58685,19.893288,488.56357,14.743973,542.8363,16.873856,543.8768
5.2367399999999975,5.2367399999999975,556.0,556.0,29.651815,487.1569,18.57188,487.6886,14.620918,543.2142,16.815952,544.27435
5.098770000000002,5.098770000000002,555.0,555.0,25.277319,486.40274,17.863262,486.76733,14.565468,543.4194,16.78463,544.04395
5.63053,5.63053,554.0,554.0,22.650036,486.34592,17.754917,487.0033,14.803333,543.775,16.720951,543.50616
4.569049999999997,4.569049999999997,554.0,554.0,20.807262,486.3475,17.689648,487.21194,15.114304,543.9287,16.617855,542.5234
2.513390000000001,2.513390000000001,555.0,555.0,19.377026,486.33502,17.657207,487.28088,15.457722,544.06946,16.498459,541.6139
3.622570000000003,3.622570000000003,552.0,552.0,18.208378,486.25604,17.467209,486.22687,15.698166,544.00006,16.298523,541.2332
4.658059999999999,,549.0,549.0,21.43679,488.04483,19.418793,487.5851,15.790012,544.16125,16.313965,541.255
6.058120000000002,6.058120000000002,544.0,544.0,21.20345,488.49533,18.61176,487.97714,16.376953,543.6277,16.002712,540.33844
5.104930000000003,5.104930000000003,545.0,545.0,19.650196,487.83902,17.529469,486.26703,16.099674,542.71796,15.719761,539.6646
6.683450000000001,6.683450000000001,,,18.858955,488.68665,16.862461,485.37875,16.342907,532.9081,15.602062,532.3547
4.367620000000002,4.367620000000002,532.0,532.0,18.458965,488.21136,16.968006,485.7735,16.707691,531.86957,15.841293,532.511
8.768979999999999,8.768979999999999,528.0,528.0,18.571735,486.5555,16.731258,483.96896,16.657032,529.5634,15.909832,531.113
7.036850000000001,7.036850000000001,521.0,521.0,19.015858,486.2827,16.808643,483.7266,17.363762,525.18134,16.172028,527.17676
10.6719,10.6719,517.0,517.0,19.67566,486.35754,17.113274,484.90695,18.607796,519.7113,16.658703,522.41693
16.0006,16.0006,510.0,510.0,20.875397,484.42804,17.324661,483.54178,20.009853,513.1794,17.24271,513.8581
21.422200000000004,,503.0,503.0,27.428738,485.2504,24.215813,484.01486,25.560802,502.44046,20.13189,503.89807
26.1426,,498.0,498.0,43.574837,486.80573,44.109005,484.52258,37.694546,496.145,26.023605,495.74136
26.8966,,493.0,493.0,59.750652,488.02377,60.481743,485.0158,52.84052,492.4511,37.863125,489.87463
33.7623,,492.0,492.0,70.12381,489.11694,68.13696,487.7042,65.06817,490.03262,55.386917,486.1564
34.0736,,494.0,494.0,71.01513,486.41895,75.18476,485.3881,72.393555,489.66934,60.48669,485.32358
36.9808,36.9808,491.0,491.0,67.638504,486.2114,66.74257,484.21902,69.07485,490.1451,63.408203,483.80453
30.4898,30.4898,494.0,494.0,62.379192,485.70032,30.499792,483.4079,58.96726,491.83096,61.40212,483.12686
27.717,27.717,494.0,494.0,56.465336,485.3267,20.823666,483.1511,44.341133,494.51083,56.945904,483.12756
24.1423,24.1423,496.0,496.0,49.367218,485.19864,18.840466,483.1139,35.20141,497.93857,50.79689,485.287
20.5272,,502.0,502.0,50.54604,485.773,23.625967,483.68594,39.28806,500.61285,49.580162,491.06958
37.4504,37.4504,504.0,504.0,48.8802,486.44604,22.66483,485.06177,31.795399,500.27716,37.47352,499.82407
39.9946,,504.0,504.0,46.34071,484.69794,37.108593,484.0805,33.65378,499.71582,37.24448,505.81412
38.1554,38.1554,513.0,513.0,42.604378,485.32596,33.253376,483.37115,26.852684,500.96274,27.066671,510.81226
37.0416,37.0416,516.0,516.0,39.18072,486.04062,27.760206,483.0059,22.170391,501.4677,22.067715,512.4438
36.0516,36.0516,517.0,517.0,37.33061,486.96484,25.557514,482.66605,21.253475,508.55753,20.571598,515.2703
37.9485,,519.0,519.0,42.295334,488.6665,43.601734,483.0053,21.34834,509.60193,21.421638,516.5922
34.6901,34.6901,522.0,522.0,44.16888,489.67612,33.9855,482.55612,19.359795,511.73532,19.472301,518.21954
30.9183,30.9183,530.0,530.0,45.457996,490.3044,23.423367,482.70966,17.797249,516.0868,18.15741,521.03217
27.3102,27.3102,534.0,534.0,46.19176,490.71927,20.803589,484.70697,17.84055,519.88434,17.804787,523.40625
24.2254,24.2254,539.0,539.0,46.285053,490.8972,20.843998,488.99734,18.659805,526.0155,18.297684,524.8542
23.4526,23.4526,,,42.8749,491.624,20.557156,489.70465,19.408974,517.8547,18.00084,523.58997
15.797699999999999,,541.0,541.0,49.542343,491.24826,30.03422,489.95993,19.084412,522.39905,17.8003,527.2916
