RS Actual Data,RS Missing Data,SG Actual Data,SG Missing Data,RS Predicted Data - RS,SG Predicted Data - RS,RS Predicted Data - RS_missing,SG Predicted Data - RS_missing,RS Predicted Data - RS_missing_SG,SG Predicted Data - RS_missing_SG,RS Predicted Data - RS_SG_both_missing,SG Predicted Data - RS_SG_both_missing
3.2569499999999962,3.2569499999999962,518.0,518.0,8.343883,481.25122,6.3545623,480.63763,5.987161,514.9803,6.3105426,515.6865
4.503669999999996,,519.0,519.0,9.883094,481.7777,5.899795,481.77014,5.3830295,515.37134,5.5342727,516.27045
4.10267,,514.0,514.0,12.783366,482.3462,5.6376185,482.53403,4.942758,514.95337,5.2019057,516.57104
5.219619999999999,5.219619999999999,517.0,517.0,10.305348,481.73013,5.526857,481.44534,4.7696624,514.5781,4.883779,516.60394
5.374380000000002,,517.0,517.0,23.699928,483.0462,5.436559,482.53333,4.355222,514.3757,5.147611,516.8653
4.639980000000001,,518.0,518.0,29.057117,482.89563,6.164554,482.80136,4.0971255,514.21075,5.207359,517.20685
4.8508700000000005,,517.0,517.0,32.271416,482.58237,9.801473,482.8543,3.9318614,513.88,5.305736,517.64136
4.1126000000000005,,516.0,516.0,35.030457,482.30777,24.683987,482.65945,3.9786048,513.3911,5.484876,517.88574
4.683060000000001,,516.0,516.0,35.431824,481.73026,35.577618,482.1405,4.30825,513.0484,5.7260756,518.1512
4.94211,4.94211,508.0,508.0,29.20965,480.46722,22.845182,479.81403,4.3658195,510.8251,5.5421195,517.03186
4.093730000000001,4.093730000000001,510.0,510.0,24.064783,478.92938,7.397779,478.21204,3.948419,509.65167,5.301843,514.73804
3.7301500000000054,,506.0,506.0,26.14532,478.51425,10.573512,477.9459,4.473203,506.51575,5.13985,512.48676
6.202739999999999,6.202739999999999,496.0,496.0,23.454966,478.4468,6.917745,477.13367,4.7024264,500.10315,5.349767,505.4149
5.294830000000001,,487.0,487.0,24.715958,478.68814,10.496955,476.7682,5.6025653,489.2679,6.176826,495.17313
6.224260000000001,6.224260000000001,476.0,476.0,18.884733,478.4231,6.3225513,475.19876,6.6101584,481.99866,8.08413,480.87936
5.232710000000001,,464.0,464.0,21.782875,479.5982,10.81844,476.3974,10.9157,475.41525,19.918087,471.2525
15.647900000000002,15.647900000000002,462.0,462.0,21.73099,480.1627,11.347837,477.2473,16.44713,470.71945,29.335794,464.13248
26.8386,26.8386,459.0,459.0,23.928892,480.50452,18.313852,476.68704,25.978128,466.1831,33.94222,459.50717
37.5751,37.5751,453.0,453.0,28.880291,481.13782,34.291054,476.3806,36.35503,461.1933,37.84966,455.52078
51.6959,,451.0,451.0,28.776827,481.08667,38.027546,474.66666,39.945652,457.66183,38.21646,452.60687
56.1145,56.1145,451.0,451.0,38.685062,482.88602,46.599552,481.5236,48.139458,454.5389,47.10027,452.69403
58.3295,58.3295,453.0,453.0,44.54932,483.52393,55.714878,481.5776,55.391018,453.12656,53.400726,452.476
