RS Actual Data,RS Missing Data,SG Actual Data,SG Missing Data,RS Predicted Data - RS,SG Predicted Data - RS,RS Predicted Data - RS_missing,SG Predicted Data - RS_missing,RS Predicted Data - RS_missing_SG,SG Predicted Data - RS_missing_SG,RS Predicted Data - RS_SG_both_missing,SG Predicted Data - RS_SG_both_missing
78.3446,,349.0,349.0,58.83387,388.0493,68.74762,383.2765,72.6046,349.8065,65.556114,346.6761
83.2799,83.2799,345.0,345.0,62.20948,387.50317,78.22087,383.6434,83.579796,347.55463,71.23431,346.38986
99.8424,99.8424,347.0,347.0,74.09209,388.78543,91.429535,387.27954,93.96326,349.41638,83.44319,347.52695
98.9324,,345.0,345.0,63.92249,386.82687,89.01073,385.05148,94.78163,349.10013,80.201065,347.22443
101.0,,346.0,346.0,59.73371,386.59924,85.22452,384.14764,90.71303,351.87097,78.48658,348.32587
102.534,,344.0,344.0,55.513496,386.68808,81.60657,383.82007,88.96997,352.16403,76.808495,348.9051
100.363,,345.0,345.0,50.735416,386.90088,78.17916,383.77524,87.63152,352.61734,73.735916,349.65207
105.614,105.614,348.0,348.0,66.90392,388.81827,98.088394,388.82635,100.49503,352.39786,84.41133,349.93494
107.228,107.228,351.0,351.0,79.64949,390.3948,106.10221,389.94598,105.27507,353.1703,91.99585,350.97946
106.834,106.834,347.0,347.0,89.20387,391.52866,106.44979,389.91696,106.27912,353.44504,98.25266,351.2436
103.888,103.888,353.0,353.0,92.615135,391.53363,103.262245,390.412,104.01205,354.4372,97.51092,351.53638
108.734,,360.0,360.0,84.3657,391.0325,98.36068,389.82187,100.846275,357.8244,91.671585,354.42682
97.2102,,368.0,368.0,70.11021,389.94205,82.14049,388.43848,96.22116,364.4843,85.83484,358.52713
90.9977,90.9977,375.0,375.0,78.324005,391.06586,87.800766,390.99817,96.05792,374.7146,88.60729,362.4703
73.5424,,382.0,382.0,67.182915,390.86893,85.02758,391.5829,88.35004,386.34363,85.50115,371.87778
77.9672,77.9672,396.0,396.0,70.61334,391.13388,87.387184,392.60632,81.29782,392.4362,83.47653,387.51294
59.3682,59.3682,395.0,395.0,63.826866,390.93277,84.961845,392.51627,65.20081,396.80573,76.43804,396.93036
51.9544,51.9544,395.0,395.0,52.921455,390.52963,75.92995,391.78256,47.136414,399.4714,65.155846,401.31833
44.5473,44.5473,404.0,404.0,43.41244,390.35693,63.05629,391.29584,36.50867,401.94498,52.86057,404.30762
38.9689,38.9689,411.0,411.0,35.53588,390.23743,46.34455,390.88647,28.541794,404.6186,40.201008,407.04324
38.0489,,411.0,411.0,36.023205,390.65494,39.952816,391.1425,23.115993,406.42416,30.890043,409.24435
27.1692,27.1692,411.0,411.0,23.077345,389.87112,24.372753,390.55655,16.577856,408.29517,18.14402,411.86588
14.9454,14.9454,413.0,413.0,11.540961,388.43494,9.545936,387.03162,8.9117,408.37164,8.627685,413.0413
15.976599999999998,,412.0,412.0,14.541316,389.54587,8.124721,388.64764,8.728625,409.21024,7.212974,414.2302
14.829,14.829,413.0,413.0,14.287181,389.89175,7.2637706,388.91483,8.433108,409.04224,5.757789,414.41916
13.199400000000004,13.199400000000004,413.0,413.0,17.08661,390.335,6.9031444,389.3847,7.660808,408.88043,5.416618,414.39337
14.633600000000001,14.633600000000001,413.0,413.0,25.900146,390.89825,6.7304187,389.77597,6.642799,408.63098,5.4491343,413.84366
15.267200000000003,,413.0,413.0,37.56455,390.9251,6.622192,390.5144,5.937835,408.20364,5.403438,413.844
14.357500000000002,14.357500000000002,413.0,413.0,31.842737,389.86533,6.7367854,389.89673,5.4354854,408.00638,5.4293857,412.3538
