RS Actual Data,RS Missing Data,SG Actual Data,SG Missing Data,RS Predicted Data - RS,SG Predicted Data - RS,RS Predicted Data - RS_missing,SG Predicted Data - RS_missing,RS Predicted Data - RS_missing_SG,SG Predicted Data - RS_missing_SG,RS Predicted Data - RS_SG_both_missing,SG Predicted Data - RS_SG_both_missing
,,399.0,399.0,49.186527,417.04074,61.931908,410.7998,57.206608,392.84177,52.95056,387.07822
42.5705,42.5705,399.0,399.0,47.736794,416.57303,63.709633,409.36636,58.14187,392.6203,51.99744,387.62393
,,401.0,401.0,50.376328,417.02063,60.66928,411.37375,55.240883,393.68323,52.512848,389.1426
48.2252,,401.0,401.0,48.461952,416.46335,60.342937,409.95258,55.06049,394.5436,50.330803,390.66476
,,402.0,402.0,45.52444,415.8261,57.104683,409.10513,54.857826,396.02304,47.76464,392.60287
40.5563,,401.0,401.0,47.177044,416.32755,56.048286,410.4607,51.06922,398.19504,47.53882,394.9415
,,405.0,405.0,43.79992,415.72443,51.35122,409.80405,51.428852,400.60794,45.578754,397.16183
44.1699,,404.0,404.0,45.483242,416.25058,53.26648,411.03983,49.93896,403.21075,46.574703,399.81693
46.0397,46.0397,401.0,401.0,42.716793,415.91382,49.11937,410.83615,50.168163,403.99396,46.209442,400.63593
,,399.0,399.0,44.67187,416.58908,51.004574,411.8954,48.99936,404.31403,47.85814,401.16632
,,399.0,399.0,41.018887,416.29324,44.272167,411.44266,46.656128,404.1535,46.92408,400.93353
,,397.0,397.0,42.780045,416.88815,45.130753,412.0897,46.12732,402.92358,47.552326,400.35577
49.7648,,398.0,398.0,39.813046,416.7223,38.148796,411.78027,42.69075,402.3845,46.33536,400.44522
51.4459,51.4459,399.0,399.0,45.48212,417.50137,42.184628,412.89523,46.693066,401.2334,47.926205,400.20682
49.9952,,400.0,400.0,48.718918,418.06906,47.411,414.49658,49.746708,400.64548,49.877018,399.52048
51.6903,51.6903,399.0,399.0,50.562687,418.20786,50.457863,414.89883,50.654484,399.4581,50.10282,399.66544
45.2981,45.2981,399.0,399.0,50.293365,418.18018,50.69824,414.81436,50.922596,398.99203,50.055824,400.0171
56.1528,56.1528,397.0,397.0,52.681442,418.39395,54.064907,415.3796,52.662224,398.21637,51.004784,399.74518
49.9244,,393.0,393.0,50.953476,418.30005,53.076168,415.05893,52.81001,397.1856,50.77763,399.57635
45.6564,45.6564,389.0,389.0,50.112057,418.29968,52.807858,414.95462,53.167862,395.6917,50.62394,398.7593
54.2924,,386.0,386.0,48.27559,418.2454,51.550724,414.72437,53.17788,394.06445,50.117294,397.8921
54.0474,54.0474,388.0,388.0,50.16262,418.4242,53.877518,415.21896,54.349854,393.06644,50.609028,396.79153
62.2505,62.2505,385.0,385.0,53.525875,418.73822,58.14684,416.1271,56.48437,391.78967,51.91521,395.84204
62.6963,,385.0,385.0,50.854504,418.56702,56.667034,415.70425,56.564365,391.1964,51.5918,395.55423
66.3726,66.3726,384.0,384.0,55.159172,418.91794,61.090763,416.66745,58.986797,390.26056,53.140396,394.729
66.1649,66.1649,384.0,384.0,57.996315,419.17664,64.195526,417.3179,61.21502,389.67532,54.83587,393.93076
65.9301,,381.0,381.0,54.333256,418.8902,62.17521,416.67532,61.23008,389.1525,54.260693,394.1447
66.4795,,382.0,382.0,51.018593,418.6763,59.754063,416.13458,61.123333,388.82184,53.551624,394.32074
67.6471,67.6471,384.0,384.0,55.347267,418.97546,63.76168,417.08652,63.61658,388.59103,54.861286,393.91446
73.3133,73.3133,381.0,381.0,59.76311,419.38098,68.28538,418.17728,66.82985,388.19662,57.173935,393.09326
69.6963,69.6963,383.0,383.0,62.151985,419.60956,70.12835,418.60486,68.92032,388.28516,58.79884,392.4949
