RS Actual Data,RS Missing Data,SG Actual Data,SG Missing Data,RS Predicted Data - RS,SG Predicted Data - RS,RS Predicted Data - RS_missing,SG Predicted Data - RS_missing,RS Predicted Data - RS_missing_SG,SG Predicted Data - RS_missing_SG,RS Predicted Data - RS_SG_both_missing,SG Predicted Data - RS_SG_both_missing
26.0434,,384.0,384.0,40.22465,381.67786,41.383137,378.55402,36.828724,386.0864,34.14264,379.12637
36.54,36.54,381.0,381.0,38.8952,380.7625,47.502476,377.41,41.26974,386.01166,37.337463,378.63943
35.7694,35.7694,382.0,382.0,39.563828,381.09607,49.319477,378.3611,43.429153,386.3556,38.599022,378.8284
44.2022,,378.0,378.0,35.83554,379.957,50.159973,376.97043,44.07737,386.32892,39.31335,378.78616
46.082,,375.0,375.0,35.07364,380.49783,49.022495,376.7717,44.499836,384.4961,39.109665,376.95816
52.6309,,375.0,375.0,34.742695,381.05502,46.59817,376.69305,44.212456,382.4413,38.10807,374.81998
52.7906,,373.0,373.0,34.969395,381.69165,43.12055,376.93155,43.079426,379.1569,36.713367,372.21918
53.2773,53.2773,370.0,370.0,40.017384,382.8864,46.94843,379.29947,44.80198,375.5168,39.64483,370.14374
58.5535,58.5535,369.0,369.0,45.313564,383.90955,53.627056,381.45544,48.09855,373.22955,44.30812,368.907
58.6597,58.6597,370.0,370.0,49.849617,384.6868,58.651417,382.8273,49.176685,372.32733,49.486916,368.43704
56.8493,56.8493,371.0,371.0,50.792377,384.45377,58.421684,382.77402,51.8329,372.22012,50.516434,368.6987
60.2409,,366.0,366.0,48.95255,384.37195,55.464237,382.22223,50.55761,370.84674,51.19606,368.2111
60.3748,,370.0,370.0,43.620865,383.56955,50.37961,381.1609,50.73657,371.10516,48.867134,368.63745
53.2234,53.2234,369.0,369.0,46.314564,384.21323,53.13597,382.4346,52.806137,370.66068,51.095028,368.7542
61.4497,,368.0,368.0,43.15805,384.31424,50.50403,382.15213,53.16567,370.28497,50.54666,368.92685
64.2766,64.2766,368.0,368.0,49.97668,385.33716,58.67896,384.57254,56.55108,369.31305,54.901722,368.44684
48.267,48.267,367.0,367.0,48.670326,385.27554,58.19586,384.4791,56.661064,369.439,54.34655,368.4671
60.6828,60.6828,366.0,366.0,52.25659,385.92267,59.38029,385.55484,57.176136,368.80396,56.294624,367.78976
67.6608,67.6608,370.0,370.0,55.744186,386.31973,60.79204,385.97952,58.329216,369.20776,58.279022,367.74435
67.1616,67.1616,368.0,368.0,58.147255,386.61755,61.362682,386.23206,58.893936,369.45248,59.377953,367.83093
67.6282,,369.0,369.0,52.165936,386.06573,58.677204,385.47363,58.091026,370.78424,57.078087,368.96265
68.6441,68.6441,375.0,375.0,56.6397,386.5091,60.554394,386.22244,59.28076,372.69983,59.177116,369.6549
64.2847,64.2847,375.0,375.0,57.871384,386.74878,61.72468,386.64127,59.370113,374.61728,60.02009,370.773
69.6756,,373.0,373.0,51.110905,386.3352,59.087032,385.99408,57.55295,376.91623,58.421425,372.67813
67.6756,67.6756,376.0,376.0,56.270164,386.98065,60.520092,386.84247,58.242577,378.45175,60.77933,373.06027
66.7689,66.7689,374.0,374.0,58.376476,387.4437,61.668102,387.40237,58.204533,378.7265,62.18264,373.40085
70.6021,70.6021,374.0,374.0,60.836025,387.88773,61.898636,387.70142,58.065666,378.63275,63.609146,373.39697
68.7385,,376.0,376.0,54.599823,387.1779,59.424274,386.98,56.107418,380.67368,61.376987,376.00574
68.7233,68.7233,378.0,378.0,58.67291,387.34033,60.271454,387.36337,56.876804,381.33725,62.834274,376.73645
71.567,71.567,378.0,378.0,60.519077,387.39413,62.47239,387.83978,57.68169,381.3372,63.57609,378.0002
67.199,67.199,378.0,378.0,60.519974,387.34848,64.69922,387.71466,58.458176,380.96777,62.476105,380.0202
69.4662,69.4662,376.0,376.0,61.357044,387.83276,63.860714,387.89078,58.089924,380.7133,63.209442,379.95193
69.6143,69.6143,377.0,377.0,61.90555,388.2363,62.912945,387.98413,57.481205,380.25803,63.66521,379.67618
68.6621,68.6621,378.0,378.0,62.175743,388.3014,63.176876,388.00317,57.570786,380.20566,63.349766,380.358
70.6793,70.6793,376.0,376.0,62.68054,388.65927,62.313885,388.10727,57.120033,379.43582,63.868134,379.39093
68.5875,68.5875,374.0,374.0,62.78915,388.58902,62.60716,388.1925,57.429478,378.07382,63.29144,378.83856
69.4609,,378.0,378.0,55.879642,388.0782,59.72881,387.37836,54.60672,379.9285,60.9912,380.29938
65.0351,,377.0,377.0,48.198597,387.664,56.11846,386.555,51.46809,381.30005,58.924995,381.21445
67.0537,,,,36.87718,387.1163,50.86991,386.0794,46.62586,383.42053,56.454464,382.98108
67.4472,67.4472,375.0,375.0,44.703888,387.64053,56.545425,387.48483,52.28424,381.8996,59.048386,381.73254
67.6663,67.6663,,,53.55772,388.4508,61.57396,388.33957,55.340084,382.3692,62.564186,380.85443
69.1909,69.1909,,,55.895844,388.55594,63.401264,388.64908,57.357784,382.3298,63.523193,381.4461
66.9955,66.9955,381.0,381.0,57.18172,388.61948,63.759743,388.58276,58.018932,383.05505,63.36159,382.75818
71.4432,71.4432,386.0,386.0,60.876915,388.89566,62.58512,388.33847,57.53349,386.0039,65.43378,384.20236
68.5684,,390.0,390.0,54.93731,388.22195,60.22461,387.4009,54.485672,390.8864,61.326027,390.57172
59.2063,59.2063,391.0,391.0,57.10251,388.28912,59.628548,387.21426,54.596684,393.58997,60.55214,393.692
45.7733,45.7733,396.0,396.0,53.09167,387.7969,59.56659,387.06088,51.478928,397.76505,56.127457,398.4879
40.8698,,397.0,397.0,51.820023,387.70132,55.32757,386.48798,43.826717,400.6532,52.511196,400.3337
42.4721,42.4721,394.0,394.0,50.53934,387.59943,52.568916,386.38907,39.13259,401.4428,49.279713,401.40442
41.187,,400.0,400.0,44.13793,387.07913,46.400303,386.0574,31.584476,403.1818,45.11393,403.01773
44.834,,400.0,400.0,39.88837,386.7645,39.805443,385.8608,26.26181,403.97824,41.7222,403.93726
38.8304,,406.0,406.0,35.077538,386.29132,33.641846,385.65588,22.538767,405.45804,39.277016,405.25732
34.3893,34.3893,409.0,409.0,30.979538,385.7926,29.678814,385.5284,19.768698,406.8303,36.656483,406.76093
35.0434,,413.0,413.0,26.93362,385.19955,27.232193,385.31952,17.555168,408.42508,33.04161,408.48608
21.3716,,418.0,418.0,22.763765,384.3887,22.522123,384.74893,15.358303,410.78418,27.182049,410.63516
16.2247,16.2247,421.0,421.0,15.145153,383.10703,11.8189125,381.9319,11.647421,413.24237,14.134712,412.99988
8.8885,,418.0,418.0,18.803602,383.8723,10.582283,382.79947,9.839071,414.04105,12.152958,413.83685
6.445550000000001,,422.0,422.0,26.897064,384.4872,10.15732,383.335,8.657576,415.0406,10.922501,414.61044
6.739520000000002,,427.0,427.0,38.83746,384.8967,10.375309,383.63904,7.8542233,416.11942,10.09453,415.5489
5.7048100000000055,,425.0,425.0,41.075474,384.609,10.943672,383.5311,7.2802505,416.90955,9.221577,416.4911
4.708819999999999,,431.0,431.0,41.54695,384.06088,13.087538,383.20242,6.888851,417.73822,8.895767,417.47415
5.70654,5.70654,426.0,426.0,30.832724,382.76743,10.616556,381.74005,6.456625,417.9398,8.285664,418.38486
4.9866199999999985,4.9866199999999985,426.0,426.0,24.77602,381.52707,9.677782,380.94055,6.101593,418.0839,7.877146,419.10883
5.024810000000006,,429.0,429.0,28.05343,380.89267,9.116749,380.4613,6.009409,418.65295,7.4243793,419.74472
7.641539999999999,7.641539999999999,423.0,423.0,25.369373,380.7743,8.968971,380.2636,5.9738026,418.77118,7.479212,420.01315
8.224409999999999,,423.0,423.0,28.562426,380.65427,9.678188,380.55984,5.985735,419.2407,7.1386337,420.22174
4.040070000000004,4.040070000000004,424.0,424.0,24.274971,379.85104,8.4508705,379.8168,5.967304,419.2683,6.9766827,419.68744
