,RS Predicted Data - RS,RS Predicted Data - RS_missing,RS Predicted Data - RS_missing_SG
p1g3_220_350_1,22.18773184842884,16.729693238997324,14.86482912233739
p1g3_220_350_2,16.35113324745028,15.204149010667239,12.53129790925062
p1g3_300_400,19.168415912475634,17.50785751086838,14.243668612091273
p1g1_300_500_1,11.532669272734216,6.704415641739,5.251197222862791
p1g1_300_500_2,11.741754340159625,7.487985166250524,6.764481895410098
p1g1_300_500_3,13.727225931214562,6.9709681969635815,5.5485678391808335
p1g1_300_500_4,12.32106369300628,7.015704112464395,5.617455635784993
p1g1_300_500_5,14.667591379815299,7.931293565091352,6.495683778081847
p1g3_350_440_1,15.318491826082706,14.421001751432023,11.277026568067626
p1g3_350_440_2,17.13907114969389,15.434680311356237,10.783390769137013
p1g3_350_440_4,20.900561713368745,11.445460009169032,8.206686254613418
p1g3_350_440_5,17.165906161196563,11.230557807644328,7.280494024466926
p1g3_350_440_6,16.465031880579648,10.707959441513653,8.535692584760161
p1g3_350_440_7,14.139787945991232,10.38697141673816,7.7552883921827505
p1g3_350_440_8,16.576783787222876,11.100507524542532,9.948336014842205
p1g3_350_440_9,16.410620105050747,9.901447318103138,6.147111784564325
p1g3_350_440_10,19.322651896194113,11.015443446636842,7.543684693387045
p1g3_350_440_11,18.729692041048107,12.267371375243812,9.06566962428415
p2g1_350_450_2,16.483244855830804,9.291542137495615,8.050870886452028
p2g1_350_450_6,11.142047218813008,7.5680653299572205,5.773794741417138
p2g1_350_450_9,11.595422564872093,8.136942468816416,5.981009271799913
p2g1_350_450_10,14.561697522693969,8.160525374682333,6.24665507805374
p2g1_350_450_11,12.236303788525921,11.193563594874627,7.891965698861586
p2g1_350_450_12,16.62681327323212,9.228036484717531,5.423617784089337
p2g1_350_450_14,19.156958209029447,12.322640587431062,9.740835854748912
p1g3_450_550,21.454672780103003,17.771804127219916,17.016281133150024
p1g2_450_600_1,7.913553168272551,4.853774805256124,3.898630107521068
p1g2_450_600_2,11.971011150727989,7.819766706106273,6.063983451262499
p1g2_450_600_3,11.441760315164572,7.2463011553899745,6.133689445607071
p1g2_450_600_4,13.504503744451252,7.984546059361479,5.549304428954359
p1g2_450_600_5,12.450882403655562,7.5491117683646465,7.0184574055989986
p1g1_480_570_1,23.874204012614687,24.758423743662494,26.447023609359675
p1g1_480_570_2,17.123713120519366,16.56572831420492,20.429397772856007
p1g3_500_620_2,21.40074398048269,15.807649582992479,14.374606828138603
p1g3_500_620_4,16.87530154799048,9.97000315866042,7.978710945256994
p2g3_500_650_2,17.38757728607995,19.183972750261233,10.421793094090496
p2g3_500_650_5,18.593551407342026,20.573536690561863,12.688083636683707
p2g3_500_650_6,31.702892869662058,37.79299495118924,23.97181145242804
p2g3_500_650_8,20.224025710660193,25.213522040489455,13.212912660529028
p2g3_500_650_10,22.209584033518208,27.489398729176276,17.614172365360936
p2g3_500_650_11,20.662053873921366,23.259630014493034,18.08786883894925
p2g3_500_650_12,14.261811587570957,13.218809578903105,8.917412889268016
p2g2_550_700_1,12.436626786345853,8.71375140857075,6.942498266217001
p2g2_550_700_2,14.155111593119777,12.357677707067928,7.7305395671958514
p2g2_550_700_3,14.269725493334406,12.442613950516535,7.901388625141334
p2g2_550_700_4,17.263087715018045,13.8842709544976,9.368745826261334
p2g2_550_700_5,16.714457026419048,20.6546637493804,14.163711031566153
p2g2_550_700_6,11.430841369908427,8.191534572987049,7.132003580852675
p2g2_550_700_7,14.541094176189018,12.20437166233106,10.201874697966893
p2g2_550_700_8,18.875721613606682,12.563216809084695,11.076543111359628
p2g2_550_700_10,16.576591054020213,16.877753649568415,10.132484737547717
p2g2_550_700_11,21.759194939251376,20.92612564789153,11.30882552161399
p2g2_550_700_12,20.174523483118758,21.596306346761974,13.428654925349766
p1g2_600_680_2,11.633498756335609,9.541437791445968,9.416572041830042
p1g2_600_680_3,13.238130650498094,11.181354266130638,14.048507182824785
p1g2_600_680_4,12.453735804535349,10.401493082033415,15.293052363115716
