time[s],MCP,PIP,DIP,TIP
0.049350454937666655,258.0,254.0,241.0,235.0
0.11169063486158848,259.0,253.0,241.0,235.0
0.17018903186544776,257.0,253.0,241.0,235.0
0.23061921214684844,257.0,252.0,240.0,234.0
0.29100728081539273,257.0,252.0,240.0,235.0
0.3484065281227231,258.0,253.0,241.0,235.0
0.40683311875909567,258.0,253.0,241.0,235.0
0.4651673431508243,258.0,253.0,241.0,236.0
0.525000941939652,258.0,254.0,242.0,236.0
0.5851757549680769,259.0,254.0,242.0,236.0
0.6462262920103967,259.0,254.0,242.0,236.0
0.7066738270223141,258.0,253.0,241.0,235.0
0.7659313678741455,258.0,253.0,242.0,235.0
0.8255761777982116,258.0,253.0,242.0,235.0
0.8846956649795175,258.0,254.0,242.0,235.0
0.9433314478956163,258.0,253.0,242.0,235.0
1.0022048838436604,258.0,253.0,242.0,234.0
1.060897896066308,258.0,253.0,241.0,233.0
1.1198804611340165,257.0,252.0,242.0,232.0
1.1785680931061506,257.0,252.0,241.0,231.0
1.2375068040564656,257.0,252.0,240.0,230.0
1.296606803778559,257.0,252.0,240.0,229.0
1.3558998419903219,258.0,252.0,239.0,229.0
1.4143853271380067,257.0,252.0,239.0,229.0
1.4735927619040012,257.0,252.0,238.0,229.0
1.53236148878932,256.0,251.0,238.0,228.0
1.5913953427225351,256.0,251.0,237.0,227.0
1.6500213090330362,255.0,250.0,236.0,226.0
1.7094513410702348,256.0,249.0,235.0,226.0
1.7691917470656335,255.0,247.0,234.0,223.0
1.831363258883357,254.0,247.0,233.0,223.0
1.8893559938296676,253.0,246.0,232.0,223.0
1.9503797530196607,252.0,245.0,231.0,223.0
2.009642745833844,252.0,244.0,231.0,222.0
2.068264092784375,252.0,244.0,231.0,223.0
2.126826818101108,251.0,243.0,231.0,223.0
2.186588002834469,251.0,243.0,231.0,223.0
2.245509563945234,251.0,243.0,231.0,224.0
2.304282491095364,250.0,242.0,231.0,225.0
2.363250680733472,250.0,242.0,231.0,224.0
2.4223468648269773,250.0,242.0,231.0,225.0
2.481745627708733,250.0,242.0,230.0,227.0
2.541311039123684,249.0,241.0,231.0,227.0
2.6012711660005152,249.0,241.0,231.0,228.0
2.661293552722782,249.0,241.0,231.0,229.0
2.7223523799329996,249.0,241.0,232.0,231.0
2.7818960519507527,250.0,242.0,233.0,233.0
2.8411132800392807,249.0,242.0,234.0,235.0
2.900517033878714,249.0,242.0,234.0,235.0
2.959443676751107,249.0,242.0,234.0,236.0
3.0190936317667365,250.0,243.0,235.0,236.0
3.077408915851265,250.0,243.0,235.0,238.0
3.136275113094598,249.0,243.0,236.0,239.0
3.197018968872726,250.0,243.0,236.0,239.0
3.2560686571523547,249.0,243.0,236.0,240.0
3.315125457942486,249.0,243.0,236.0,241.0
3.3766731400974095,249.0,243.0,236.0,240.0
3.4358177687972784,249.0,242.0,236.0,240.0
3.4981469651684165,249.0,243.0,236.0,241.0
3.557266857009381,249.0,243.0,236.0,241.0
3.616776895709336,249.0,243.0,236.0,241.0
3.67621689196676,249.0,243.0,236.0,242.0
3.7352550700306892,249.0,242.0,236.0,242.0
3.7955886437557638,249.0,242.0,236.0,242.0
3.8534458740614355,249.0,242.0,236.0,242.0
3.911635920871049,249.0,242.0,236.0,242.0
3.9711433658376336,249.0,242.0,236.0,242.0
4.0314432750456035,249.0,242.0,236.0,241.0
4.091318623162806,249.0,242.0,236.0,241.0
4.150090742856264,249.0,242.0,235.0,239.0
4.209287232719362,250.0,243.0,234.0,235.0
4.2695925631560385,250.0,243.0,234.0,234.0
4.3277927888557315,250.0,243.0,233.0,231.0
4.386788356117904,251.0,244.0,233.0,231.0
4.447656410746276,252.0,244.0,234.0,229.0
4.505855876021087,252.0,244.0,234.0,228.0
4.566880710888654,253.0,244.0,233.0,229.0
4.625625970773399,253.0,245.0,234.0,227.0
4.685452857986093,253.0,245.0,234.0,227.0
4.744300954975188,253.0,245.0,233.0,226.0
4.803562771994621,254.0,245.0,233.0,226.0
4.862855217885226,253.0,244.0,233.0,225.0
4.922100804746151,253.0,245.0,232.0,225.0
4.980466409120709,254.0,245.0,233.0,225.0
5.039454584009945,254.0,246.0,233.0,225.0
5.10083560179919,254.0,246.0,234.0,226.0
5.161949087865651,255.0,247.0,234.0,227.0
5.221646368037909,255.0,247.0,235.0,228.0
5.280592041090131,255.0,248.0,236.0,230.0
5.338997452054173,257.0,249.0,237.0,232.0
5.398465723730624,257.0,249.0,238.0,232.0
5.457696321886033,258.0,251.0,239.0,234.0
5.516679105814546,258.0,251.0,240.0,235.0
5.576360455714166,259.0,252.0,241.0,237.0
5.63556794077158,259.0,252.0,242.0,238.0
5.693647101055831,259.0,253.0,243.0,239.0
5.7533113588579,259.0,254.0,244.0,240.0
5.811889172066003,260.0,254.0,245.0,241.0
5.870403402019292,260.0,254.0,244.0,240.0
5.9294543489813805,260.0,254.0,245.0,241.0
5.988979883026332,260.0,254.0,245.0,240.0
6.047657705843449,261.0,254.0,245.0,241.0
6.107248664833605,260.0,254.0,245.0,240.0
6.166441031731665,260.0,254.0,245.0,240.0
6.22573441080749,260.0,254.0,245.0,240.0
6.285278811119497,260.0,254.0,244.0,239.0
6.342768053058535,260.0,254.0,244.0,239.0
6.402302382979542,261.0,254.0,244.0,238.0
6.4630740089342,260.0,254.0,243.0,237.0
6.52331273490563,260.0,254.0,244.0,237.0
6.58245602902025,260.0,254.0,243.0,237.0
6.640777532942593,260.0,254.0,243.0,237.0
6.70010427897796,261.0,254.0,243.0,237.0
6.758616228122264,260.0,254.0,243.0,238.0
6.818581964820623,260.0,254.0,243.0,237.0
6.876509916968644,260.0,254.0,244.0,238.0
6.93661536090076,260.0,254.0,244.0,237.0
6.995891700964421,261.0,254.0,244.0,238.0
7.055144865997136,260.0,254.0,244.0,238.0
7.113158612046391,260.0,254.0,243.0,237.0
7.172731228172779,260.0,254.0,243.0,237.0
7.231988802086562,260.0,254.0,243.0,237.0
7.291485772933811,261.0,254.0,243.0,237.0
7.352502399124205,260.0,254.0,243.0,236.0
