time[s],MCP,PIP,DIP,TIP
0.05423526899994613,315.0,309.0,303.0,301.0
0.12038882700016984,316.0,310.0,304.0,301.0
0.18268606800029374,316.0,311.0,304.0,302.0
0.24758704899977602,317.0,311.0,305.0,302.0
0.31109262100017077,316.0,311.0,305.0,303.0
0.3736763859997154,316.0,311.0,305.0,303.0
0.4339266549995955,316.0,311.0,305.0,303.0
0.49679216500044276,316.0,311.0,305.0,302.0
0.5608421589995487,316.0,311.0,305.0,303.0
0.6283956659999603,317.0,311.0,305.0,303.0
0.6923369659998571,316.0,311.0,306.0,303.0
0.755819793000228,317.0,311.0,305.0,302.0
0.8247885869996026,315.0,311.0,304.0,302.0
0.8876610919996892,315.0,309.0,304.0,300.0
0.9506545639997057,314.0,308.0,303.0,299.0
1.0130478540004333,314.0,307.0,302.0,298.0
1.0756890579996252,313.0,307.0,301.0,297.0
1.1379621870000847,313.0,307.0,300.0,297.0
1.2008131539996612,312.0,306.0,300.0,297.0
1.2650613240002713,312.0,306.0,299.0,296.0
1.3298179550001805,311.0,306.0,299.0,296.0
1.3922430029997486,311.0,306.0,299.0,296.0
1.4559753559997262,311.0,306.0,299.0,295.0
1.5213242139998329,312.0,306.0,299.0,295.0
1.582580348999727,312.0,306.0,298.0,293.0
1.6490276920003453,312.0,305.0,295.0,289.0
1.7124783199997182,311.0,302.0,290.0,282.0
1.774860794000233,310.0,301.0,287.0,277.0
1.841116958999919,310.0,301.0,286.0,275.0
1.9034633219998796,310.0,301.0,284.0,274.0
1.9673489380002138,310.0,302.0,284.0,273.0
2.031916113999614,310.0,302.0,285.0,272.0
2.0961290389996066,310.0,301.0,282.0,269.0
2.163041972999963,310.0,301.0,282.0,269.0
2.226686138000332,309.0,300.0,281.0,267.0
2.290072945999782,309.0,301.0,280.0,266.0
2.3530847250003717,309.0,300.0,281.0,266.0
2.4174115539999548,309.0,300.0,283.0,265.0
2.4797623309996197,309.0,301.0,286.0,264.0
2.543707548999919,310.0,302.0,287.0,264.0
2.6066188599997986,310.0,302.0,283.0,264.0
2.6684525279997615,310.0,302.0,271.0,264.0
2.7324693569999,310.0,301.0,0.0,264.0
2.8023632730000827,310.0,300.0,0.0,265.0
2.8652314800001477,309.0,298.0,261.0,261.0
2.9284139150004194,309.0,0.0,264.0,264.0
2.9910955329996796,310.0,261.0,265.0,262.0
3.054028773999562,309.0,262.0,266.0,262.0
3.1175046030002704,309.0,261.0,266.0,262.0
3.1842120060000525,309.0,264.0,265.0,262.0
3.2492323369997393,309.0,266.0,267.0,262.0
3.3124728519997007,308.0,268.0,267.0,261.0
3.3746559929995783,308.0,0.0,269.0,260.0
3.437462644000334,308.0,0.0,270.0,261.0
3.497545567999623,307.0,0.0,270.0,261.0
3.564212162000331,307.0,273.0,270.0,261.0
3.627647018999596,307.0,276.0,271.0,260.0
3.690566010999646,308.0,278.0,271.0,261.0
3.753187416000401,0.0,282.0,272.0,261.0
3.815540212000087,0.0,286.0,272.0,262.0
3.880348734999643,0.0,287.0,271.0,263.0
3.945308866999767,259.0,288.0,270.0,261.0
4.01213410299988,260.0,289.0,269.0,261.0
4.077075864000108,260.0,289.0,269.0,260.0
4.140466589000425,261.0,290.0,268.0,260.0
4.2057192929996745,261.0,288.0,268.0,261.0
4.2669110369997725,262.0,287.0,269.0,260.0
4.330760926999574,262.0,286.0,268.0,261.0
4.396134358000381,264.0,285.0,268.0,260.0
4.459082942999885,265.0,286.0,266.0,260.0
4.52293089900013,265.0,286.0,267.0,260.0
4.588915694000207,265.0,286.0,267.0,260.0
4.654629265999574,267.0,286.0,268.0,262.0
4.716363819000435,268.0,285.0,268.0,262.0
4.777557958000216,268.0,285.0,268.0,262.0
4.839678831999663,269.0,284.0,268.0,264.0
4.902390760999879,269.0,283.0,268.0,264.0
4.966554057999929,271.0,284.0,268.0,264.0
5.030663348000417,271.0,284.0,268.0,265.0
5.097690841999793,272.0,283.0,268.0,266.0
5.160822572000143,273.0,284.0,269.0,267.0
5.22632738700031,274.0,283.0,270.0,267.0
5.288791382999989,275.0,283.0,269.0,267.0
5.354261548999602,275.0,283.0,270.0,268.0
5.4215590049998355,275.0,283.0,270.0,268.0
5.484296298999652,275.0,283.0,270.0,268.0
5.5461749910000435,275.0,282.0,270.0,268.0
5.6096418619999895,275.0,282.0,269.0,268.0
5.673020289000306,275.0,282.0,270.0,268.0
5.735494524000387,276.0,282.0,270.0,269.0
5.799080038000284,275.0,281.0,270.0,268.0
5.86352099800024,275.0,282.0,270.0,268.0
5.927040452000256,275.0,282.0,269.0,268.0
5.9915232140001535,275.0,282.0,270.0,267.0
6.051613008999993,275.0,282.0,269.0,267.0
6.116986140000336,274.0,282.0,269.0,266.0
6.183489185999861,274.0,282.0,269.0,267.0
6.246114954999939,274.0,282.0,269.0,267.0
6.314615434999723,274.0,282.0,269.0,267.0
6.376382071999615,274.0,283.0,269.0,266.0
6.438513136999973,274.0,282.0,269.0,266.0
6.501723958000184,273.0,284.0,269.0,266.0
6.564769053000418,272.0,283.0,269.0,265.0
6.630011096000089,272.0,283.0,269.0,265.0
6.693659800000205,271.0,283.0,267.0,264.0
6.758789219999926,271.0,283.0,268.0,264.0
6.822610715000337,270.0,284.0,268.0,264.0
6.886158459999933,269.0,284.0,268.0,264.0
6.949406765000276,269.0,284.0,268.0,264.0
7.012442981999811,269.0,284.0,268.0,263.0
