time[s],Wrist_X,Wrist_Y,Wrist_D,MCP_X,MCP_Y,MCP_D,PIP_X,PIP_Y,PIP_D,DIP_X,DIP_Y,DIP_D,TIP_X,TIP_Y,TIP_D,MCP_RX,MCP_RY,MCP_RZ,PIP_RX,PIP_RY,PIP_RZ,DIP_RX,DIP_RY,DIP_RZ,TIP_RX,TIP_RY,TIP_RZ
0.05212946500023463,385,348,325,359,208,303,359,141,294,357,97,285,350,58,280,-16.54375648498535,-105.9319953918457,-22.0,-15.139741897583008,-151.83124542236328,-31.0,-15.083208084106445,-179.3834991455078,-40.0,-18.913000106811523,-203.51590728759766,-45.0
0.11475103500015393,384,347,325,360,209,304,361,141,294,358,97,285,350,58,280,-15.212799072265625,-104.51912307739258,-21.0,-12.981407165527344,-151.0629425048828,-31.0,-13.641166687011719,-178.61519622802734,-40.0,-18.144699096679688,-202.7476043701172,-45.0
0.17660539100006645,384,349,326,360,209,303,361,142,294,358,98,285,351,59,280,-14.962261199951172,-106.24323081970215,-23.0,-12.884506225585938,-152.16375732421875,-32.0,-13.544265747070312,-179.73729705810547,-41.0,-17.385879516601562,-203.88150787353516,-46.0
0.2397070220004025,385,347,326,360,210,304,360,143,294,357,99,286,352,60,281,-15.88656234741211,-104.05497741699219,-22.0,-14.350189208984375,-149.92742156982422,-32.0,-15.149398803710938,-177.85399627685547,-40.0,-17.66716766357422,-202.10223388671875,-45.0
0.3008162670003003,384,347,328,359,208,304,359,141,295,357,97,286,350,58,281,-15.640748977661133,-106.00130653381348,-24.0,-14.236738204956055,-152.05894470214844,-33.0,-14.184930801391602,-179.71521759033203,-42.0,-18.03127098083496,-203.9398193359375,-47.0
0.3605975830000716,383,345,326,359,206,304,360,139,294,357,96,285,350,56,281,-15.063888549804688,-105.38827896118164,-22.0,-12.808860778808594,-151.1661605834961,-32.0,-13.447341918945312,-178.00212860107422,-41.0,-17.454410552978516,-203.2180404663086,-45.0
0.42448186700039514,383,346,329,360,206,304,362,139,294,360,96,285,354,57,280,-14.047439575195312,-106.91536331176758,-25.0,-11.12103271484375,-152.69324493408203,-35.0,-11.12833023071289,-179.52921295166016,-44.0,-14.331661224365234,-203.64979553222656,-49.0
0.4823035310000705,385,345,327,361,206,304,362,139,294,361,95,284,355,55,280,-15.073366165161133,-105.63805770874023,-23.0,-12.865617752075195,-151.4159393310547,-33.0,-12.04789924621582,-178.58443450927734,-43.0,-15.414327621459961,-203.69632720947266,-47.0
0.5431276190001881,384,346,328,361,206,304,362,139,294,360,95,285,354,55,280,-14.203435897827148,-106.6632194519043,-24.0,-11.995687484741211,-152.44110107421875,-34.0,-12.002985000610352,-179.95081329345703,-43.0,-15.206315994262695,-204.72148895263672,-48.0
0.6049006790003659,383,347,325,360,207,304,361,141,294,359,97,285,354,58,280,-14.444499969482422,-105.95643424987793,-21.0,-12.21310806274414,-151.0629425048828,-31.0,-12.19913101196289,-178.61519622802734,-40.0,-14.728721618652344,-202.7476043701172,-45.0
0.6623815180000747,379,349,327,361,209,304,361,142,293,359,98,285,353,59,279,-10.435199737548828,-106.57419204711914,-23.0,-8.771194458007812,-152.19288635253906,-34.0,-8.908489227294922,-179.9965362548828,-42.0,-11.929813385009766,-203.71442413330078,-48.0
0.7281817600000977,381,350,325,362,208,303,363,142,293,360,98,284,353,59,280,-11.32168197631836,-107.46859359741211,-22.0,-9.139938354492188,-152.44271850585938,-32.0,-9.835155487060547,-179.91223907470703,-41.0,-13.854042053222656,-204.3905792236328,-45.0
0.7905563450003683,380,351,327,362,210,303,363,144,294,359,100,284,352,60,279,-10.340667724609375,-107.33222961425781,-24.0,-8.305469512939453,-152.57901000976562,-33.0,-9.525516510009766,-179.86570739746094,-43.0,-13.362396240234375,-204.6009292602539,-48.0
0.8513720370001465,379,351,325,363,211,304,364,145,293,361,101,284,354,62,279,-9.215335845947266,-106.15501022338867,-21.0,-6.910686492919922,-151.133056640625,-32.0,-7.627178192138672,-178.6664047241211,-41.0,-11.487701416015625,-202.75389862060547,-46.0
0.9120685000002595,383,353,325,364,212,304,364,146,293,361,102,284,354,63,279,-11.569881439208984,-106.97295951843262,-21.0,-9.983882904052734,-151.97701263427734,-32.0,-10.700374603271484,-179.53163146972656,-41.0,-14.560897827148438,-203.63094329833984,-46.0
0.9719042910001008,382,354,327,365,213,304,365,147,293,362,104,284,355,65,278,-9.879669189453125,-107.56470680236816,-23.0,-8.31967544555664,-152.59476470947266,-34.0,-9.057441711425781,-179.49928283691406,-43.0,-12.764328002929688,-203.21009826660156,-49.0
1.030092278000211,382,354,326,365,215,303,365,149,293,363,105,283,357,66,278,-9.8394775390625,-105.79880142211914,-23.0,-8.421302795410156,-150.9384002685547,-33.0,-8.34115219116211,-178.23927307128906,-43.0,-11.551570892333984,-202.28184509277344,-48.0
1.0873202020002282,382,354,327,365,214,303,366,149,292,363,106,283,357,67,278,-9.737850189208984,-106.78614807128906,-24.0,-7.487567901611328,-150.9958953857422,-35.0,-8.239524841308594,-177.84132385253906,-44.0,-11.449943542480469,-201.89571380615234,-49.0
1.1468960230004086,383,354,326,365,214,303,366,148,292,363,105,283,357,66,277,-10.61014175415039,-106.51509094238281,-23.0,-8.359859466552734,-151.4151268005371,-34.0,-9.11181640625,-178.23927307128906,-43.0,-12.161506652832031,-201.8720703125,-49.0
