time[s],MCP,PIP,DIP,TIP,Wrist_X,Wrist_Y,Wrist_D,MCP_X,MCP_Y,MCP_D,PIP_X,PIP_Y,PIP_D,DIP_X,DIP_Y,DIP_D,TIP_X,TIP_Y,TIP_D,MCP_RX,MCP_RY,MCP_RZ,PIP_RX,PIP_RY,PIP_RZ,DIP_RX,DIP_RY,DIP_RZ,TIP_RX,TIP_RY,TIP_RZ,MCP_Distance,PIP_Distance,DIP_Distance,TIP_Distance
0.05038358084857464,0,0,0,0,486,302,329,391,191,327,352,148,324,325,119,315,300,96,312,-73.7260513305664,-86.10229110717773,-2.0,-103.3564682006836,-118.69468688964844,-5.0,-121.90932846069336,-138.34646606445312,-14.0,-139.63937759399414,-154.45706176757812,-17.0,113.37166832459727,157.46741953417094,184.9260096315824,208.9141922051049
0.11037286696955562,0,0,0,0,486,302,329,390,192,328,352,148,324,325,119,316,300,96,312,-74.58179473876953,-85.4411735534668,-1.0,-103.3564682006836,-118.69468688964844,-5.0,-122.14570236206055,-138.63095092773438,-13.0,-139.63937759399414,-154.45706176757812,-17.0,113.41798025291045,157.46741953417094,185.2217945076901,208.9141922051049
0.16951715503819287,0,0,0,0,486,301,329,390,191,328,351,148,324,325,119,316,300,96,313,-74.58179473876953,-85.43881225585938,-1.0,-104.12240600585938,-117.91693496704102,-5.0,-122.14570236206055,-137.85319900512695,-13.0,-139.93485641479492,-154.01816940307617,-16.0,113.4162014270798,157.38767100529316,184.6403993752944,208.70879364824074
0.2291488228365779,0,0,0,0,486,302,329,390,191,328,351,147,324,325,119,316,300,95,313,-74.58179473876953,-86.2165641784668,-1.0,-104.12240600585938,-119.46062469482422,-5.0,-122.14570236206055,-138.63095092773438,-13.0,-139.93485641479492,-155.53585815429688,-16.0,114.00324576605543,158.54752058902298,185.2217945076901,209.83128272882198
0.28835407784208655,0,0,0,0,487,301,330,391,191,328,352,147,325,325,119,316,300,96,313,-74.73074722290039,-85.58457565307617,-2.0,-104.4533576965332,-119.04692077636719,-5.0,-123.0700454711914,-137.99896240234375,-14.0,-140.85919952392578,-154.16393280029297,-17.0,113.63716016431488,158.45400998527793,185.43448901540566,209.5157088787721
0.346287433989346,0,0,0,0,486,298,329,391,189,329,352,145,324,326,117,316,300,94,313,-73.88675880432129,-84.77533340454102,0.0,-103.3564682006836,-117.88147354125977,-5.0,-121.39867782592773,-137.01397323608398,-13.0,-139.93485641479492,-153.1647605895996,-16.0,112.45492555001331,156.8553515924071,183.51966608465082,208.07981143373482
0.4053391139023006,0,0,0,0,487,297,330,391,188,329,353,144,325,326,115,317,301,91,312,-74.81110191345215,-84.91164016723633,-1.0,-103.68506240844727,-118.23134231567383,-5.0,-122.55703735351562,-138.1605110168457,-13.0,-139.8261489868164,-154.39243698120117,-18.0,113.17105462703414,157.33481011019032,185.14198391857792,209.07505001189776
0.46342131588608027,0,0,0,0,487,296,330,390,187,329,352,143,325,326,113,316,302,90,312,-75.5888557434082,-84.90927505493164,-1.0,-104.4533576965332,-118.21952819824219,-5.0,-122.3230209350586,-138.58050537109375,-14.0,-139.08859252929688,-154.34988403320312,-18.0,113.6849158989521,157.83333228914256,185.37388683303408,208.5510088032279
0.5226374629419297,0,0,0,0,487,295,328,391,186,329,353,141,324,327,113,317,302,89,312,-74.51792335510254,-84.64375305175781,1.0,-103.22169876098633,-118.48036575317383,-4.0,-121.51446914672852,-137.83589553833008,-11.0,-138.79541397094727,-154.04417037963867,-16.0,112.7762644878961,157.1887914709877,184.08014643319,207.96579855187193
0.5810413749422878,0,0,0,0,487,295,327,390,185,329,353,141,324,327,112,316,302,89,312,-75.14908599853516,-85.28992462158203,2.0,-103.07510757446289,-118.34878158569336,-3.0,-121.13623428344727,-138.15266036987305,-11.0,-138.64882278442383,-153.9125862121582,-15.0,113.69149646464496,156.97105435176655,184.06831564299085,207.6958840565253
0.6399378159549087,0,0,0,0,488,295,329,391,185,328,353,140,323,327,111,316,303,88,312,-75.36191177368164,-85.42462921142578,-1.0,-103.9758529663086,-119.1430435180664,-6.0,-122.20716857910156,-139.16284942626953,-13.0,-138.98218536376953,-154.91332244873047,-17.0,113.92008173317711,158.2467782257171,185.66068704106294,208.81375749838307
0.698759573046118,0,0,0,0,488,295,329,391,185,328,353,141,324,328,112,316,303,88,311,-75.36191177368164,-85.42462921142578,-1.0,-104.14604187011719,-118.61194610595703,-5.0,-121.46014404296875,-138.41582489013672,-13.0,-138.6938018798828,-154.55555725097656,-18.0,113.92008173317711,157.9246396109697,184.60906578756016,208.4403774633314
0.7581278039142489,0,0,0,0,488,294,329,392,184,329,354,140,323,328,111,315,303,87,312,-74.66450881958008,-85.5530891418457,0.0,-103.21228408813477,-118.36528396606445,-6.0,-121.2308578491211,-138.0816993713379,-14.0,-138.98218536376953,-154.87312698364258,-17.0,113.55227844029264,157.15952416273382,184.2809718774848,208.78393930132813
0.8170145459007472,0,0,0,0,488,294,329,392,184,329,355,139,323,329,110,315,304,87,311,-74.66450881958008,-85.5530891418457,0.0,-102.44871520996094,-119.12885665893555,-6.0,-120.48619842529297,-138.82635116577148,-14.0,-137.9585952758789,-154.51299667358398,-18.0,113.55227844029264,157.23683963065682,184.3520539320926,207.92027354624352
0.8761613699607551,0,0,0,0,489,294,328,392,184,329,354,139,323,328,110,315,304,87,310,-75.29095077514648,-85.42387008666992,1.0,-103.83872604370117,-118.99963760375977,-5.0,-121.8572998046875,-138.6971321105957,-13.0,-138.29901123046875,-154.0236473083496,-18.0,113.87258163934719,158.0139069076041,185.0813225892703,207.78330163295652
